state,date,cases,daily cases,deaths,daily deaths,daily cases moving average,daily deaths moving average
SP,2020-02-25,0,0,0,0,,
SP,2020-02-26,0,0,0,0,,
SP,2020-02-27,0,0,0,0,,
SP,2020-02-28,0,0,0,0,,
SP,2020-02-29,1,0,0,0,,
SP,2020-03-01,1,0,0,0,,
SP,2020-03-02,1,0,0,0,,
SP,2020-03-03,1,0,0,0,,
SP,2020-03-04,1,0,0,0,,
SP,2020-03-05,3,1,0,0,,
SP,2020-03-06,5,2,0,0,,
SP,2020-03-07,6,1,0,0,,
SP,2020-03-08,8,1,0,0,,
SP,2020-03-09,8,0,0,0,0.35714285714285715,0.0
SP,2020-03-10,9,1,0,0,0.42857142857142855,0.0
SP,2020-03-11,15,5,0,0,0.7857142857142857,0.0
SP,2020-03-12,21,6,0,0,1.2142857142857142,0.0
SP,2020-03-13,28,7,0,0,1.7142857142857142,0.0
SP,2020-03-14,32,4,0,0,2.0,0.0
SP,2020-03-15,68,35,0,0,4.5,0.0
SP,2020-03-16,76,8,0,0,5.071428571428571,0.0
SP,2020-03-17,82,6,0,0,5.5,0.0
SP,2020-03-18,120,38,2,1,8.214285714285714,0.07142857142857142
SP,2020-03-19,143,23,2,0,9.785714285714286,0.07142857142857142
SP,2020-03-20,198,55,4,2,13.571428571428571,0.21428571428571427
SP,2020-03-21,229,31,7,3,15.714285714285714,0.42857142857142855
SP,2020-03-22,315,86,11,3,21.785714285714285,0.6428571428571429
SP,2020-03-23,372,57,15,4,25.857142857142858,0.9285714285714286
SP,2020-03-24,405,32,20,5,28.071428571428573,1.2857142857142858
SP,2020-03-25,431,26,24,4,29.571428571428573,1.5714285714285714
SP,2020-03-26,526,95,29,5,35.92857142857143,1.9285714285714286
SP,2020-03-27,611,85,34,5,41.5,2.2857142857142856
SP,2020-03-28,1406,794,84,50,97.92857142857143,5.857142857142857
SP,2020-03-29,1451,45,98,14,98.64285714285714,6.857142857142857
SP,2020-03-30,1517,66,113,15,102.78571428571429,7.928571428571429
SP,2020-03-31,2339,822,136,23,161.07142857142858,9.571428571428571
SP,2020-04-01,2981,642,164,28,204.21428571428572,11.5
SP,2020-04-02,3506,525,188,24,240.07142857142858,13.214285714285714
SP,2020-04-03,4048,542,219,31,274.85714285714283,15.285714285714286
SP,2020-04-04,4466,418,260,41,302.5,18.0
SP,2020-04-05,4620,154,275,15,307.35714285714283,18.857142857142858
SP,2020-04-06,4866,246,304,29,320.85714285714283,20.642857142857142
SP,2020-04-07,5682,816,371,67,376.85714285714283,25.071428571428573
SP,2020-04-08,6708,1026,428,57,448.2857142857143,28.857142857142858
SP,2020-04-09,7480,772,496,68,496.64285714285717,33.357142857142854
SP,2020-04-10,8216,736,540,44,543.1428571428571,36.142857142857146
SP,2020-04-11,8419,203,560,20,500.92857142857144,34.0
SP,2020-04-12,8755,336,588,28,521.7142857142857,35.0
SP,2020-04-13,8895,140,608,20,527.0,35.357142857142854
SP,2020-04-14,9371,476,695,87,502.2857142857143,39.92857142857143
SP,2020-04-15,11043,1672,778,83,575.8571428571429,43.857142857142854
SP,2020-04-16,11568,525,853,75,575.8571428571429,47.5
SP,2020-04-17,12841,1273,928,75,628.0714285714286,50.642857142857146
SP,2020-04-18,13894,1053,991,63,673.4285714285714,52.214285714285715
SP,2020-04-19,14267,373,1015,24,689.0714285714286,52.857142857142854
SP,2020-04-20,14580,313,1037,22,693.8571428571429,52.357142857142854
SP,2020-04-21,15385,805,1093,56,693.0714285714286,51.57142857142857
SP,2020-04-22,15914,529,1134,41,657.5714285714286,50.42857142857143
SP,2020-04-23,16740,826,1345,211,661.4285714285714,60.642857142857146
SP,2020-04-24,17826,1086,1512,167,686.4285714285714,69.42857142857143
SP,2020-04-25,20004,2178,1667,155,827.5,79.07142857142857
SP,2020-04-26,20715,711,1700,33,854.2857142857143,79.42857142857143
SP,2020-04-27,21696,981,1825,125,914.3571428571429,86.92857142857143
SP,2020-04-28,24041,2345,2049,224,1047.857142857143,96.71428571428571
SP,2020-04-29,26158,2117,2247,198,1079.642857142857,104.92857142857143
SP,2020-04-30,28698,2540,2375,128,1223.5714285714287,108.71428571428571
SP,2020-05-01,30374,1676,2511,136,1252.357142857143,113.07142857142857
SP,2020-05-02,31174,800,2586,75,1234.2857142857142,113.92857142857143
SP,2020-05-03,31772,598,2627,41,1250.357142857143,115.14285714285714
SP,2020-05-04,32187,415,2654,27,1257.642857142857,115.5
