state,date,cases,daily cases,deaths,daily deaths,daily cases moving average,daily deaths moving average
SP,2020-05-05,34053,1866,2851,197,1333.4285714285713,125.57142857142857
SP,2020-05-06,37853,3800,3045,194,1567.0714285714287,136.5
SP,2020-05-07,39928,2075,3206,161,1656.2857142857142,132.92857142857142
SP,2020-05-08,41830,1902,3416,210,1714.5714285714287,136.0
SP,2020-05-09,44411,2581,3608,192,1743.357142857143,138.64285714285714
SP,2020-05-10,45444,1033,3709,101,1766.357142857143,143.5
SP,2020-05-11,46131,687,3743,34,1745.357142857143,137.0
SP,2020-05-12,47719,1588,3949,206,1691.2857142857142,135.71428571428572
SP,2020-05-13,51097,3378,4118,169,1781.357142857143,133.64285714285714
SP,2020-05-14,54286,3189,4315,197,1827.7142857142858,138.57142857142858
SP,2020-05-15,58378,4092,4501,186,2000.2857142857142,142.14285714285714
SP,2020-05-16,61183,2805,4688,187,2143.5,150.14285714285714
SP,2020-05-17,62345,1162,4782,94,2183.785714285714,153.92857142857142
SP,2020-05-18,63066,721,4823,41,2205.6428571428573,154.92857142857142
SP,2020-05-19,65995,2929,5147,324,2281.5714285714284,164.0
SP,2020-05-20,69859,3864,5363,216,2286.1428571428573,165.57142857142858
SP,2020-05-21,73739,3880,5558,195,2415.0714285714284,168.0
SP,2020-05-22,76871,3132,5773,215,2502.9285714285716,168.35714285714286
SP,2020-05-23,80558,3687,6045,272,2581.9285714285716,174.07142857142858
SP,2020-05-24,82161,1603,6163,118,2622.6428571428573,175.28571428571428
SP,2020-05-25,83625,1464,6220,57,2678.1428571428573,176.92857142857142
SP,2020-05-26,86017,2392,6423,203,2735.5714285714284,176.71428571428572
SP,2020-05-27,89483,3466,6712,289,2741.8571428571427,185.28571428571428
SP,2020-05-28,95865,6382,6980,268,2969.9285714285716,190.35714285714286
SP,2020-05-29,101556,5691,7275,295,3084.1428571428573,198.14285714285714
SP,2020-05-30,107142,5586,7532,257,3282.785714285714,203.14285714285714
SP,2020-05-31,109698,2556,7615,83,3382.3571428571427,202.35714285714286
SP,2020-06-01,111296,1598,7667,52,3445.0,203.14285714285714
SP,2020-06-02,118295,6999,7994,327,3735.714285714286,203.35714285714286
SP,2020-06-03,123483,5188,8276,282,3830.285714285714,208.07142857142858
SP,2020-06-04,129200,5717,8560,284,3961.5,214.42857142857142
SP,2020-06-05,134565,5365,8842,282,4121.0,219.21428571428572
SP,2020-06-06,140549,5984,9058,216,4285.071428571428,215.21428571428572
SP,2020-06-07,143073,2524,9145,87,4350.857142857143,213.0
SP,2020-06-08,144593,1520,9188,43,4354.857142857143,212.0
SP,2020-06-09,150138,5545,9522,334,4580.071428571428,221.35714285714286
SP,2020-06-10,156316,6178,9862,340,4773.785714285715,225.0
SP,2020-06-11,162520,6204,10145,283,4761.071428571428,226.07142857142858
SP,2020-06-12,167900,5380,10368,223,4738.857142857143,220.92857142857142
SP,2020-06-13,172875,4975,10581,213,4695.214285714285,217.78571428571428
SP,2020-06-14,178202,5327,10694,113,4893.142857142857,219.92857142857142
SP,2020-06-15,181460,3258,10767,73,5011.714285714285,221.42857142857142
SP,2020-06-16,190285,8825,11132,365,5142.142857142857,224.14285714285714
SP,2020-06-17,191517,1232,11521,389,4859.571428571428,231.78571428571428
SP,2020-06-18,192628,1111,11846,325,4530.571428571428,234.71428571428572
SP,2020-06-19,211658,19030,12232,386,5506.642857142857,242.14285714285714
SP,2020-06-20,215793,4135,12494,262,5374.571428571428,245.42857142857142
SP,2020-06-21,219185,3392,12588,94,5436.571428571428,245.92857142857142
SP,2020-06-22,221973,2788,12634,46,5527.142857142857,246.14285714285714
SP,2020-06-23,229475,7502,13068,434,5666.928571428572,253.28571428571428
SP,2020-06-24,238822,9347,13352,284,5893.285714285715,249.28571428571428
SP,2020-06-25,248587,9765,13759,407,6147.642857142857,258.14285714285717
SP,2020-06-26,258508,9921,13966,207,6472.0,257.0
SP,2020-06-27,265581,7073,14263,297,6621.857142857143,263.0
SP,2020-06-28,271737,6156,14338,75,6681.071428571428,260.2857142857143
SP,2020-06-29,275145,3408,14398,60,6691.785714285715,259.35714285714283
SP,2020-06-30,281380,6235,14763,365,6506.785714285715,259.35714285714283
SP,2020-07-01,289935,8555,15030,267,7029.857142857143,250.64285714285714
SP,2020-07-02,302179,12244,15351,321,7825.071428571428,250.35714285714286
SP,2020-07-03,310702,8523,15694,343,7074.571428571428,247.28571428571428
SP,2020-07-04,312530,1828,15996,302,6909.785714285715,250.14285714285714
SP,2020-07-05,320179,7649,16078,82,7213.857142857143,249.28571428571428
SP,2020-07-06,323070,2891,16134,56,7221.214285714285,250.0
SP,2020-07-07,332708,9638,16475,341,7373.785714285715,243.35714285714286
SP,2020-07-08,341365,8657,16788,313,7324.5,245.42857142857142
SP,2020-07-09,349715,8350,17118,330,7223.428571428572,239.92857142857142
SP,2020-07-10,359110,9395,17442,324,7185.857142857143,248.28571428571428
SP,2020-07-11,366890,7780,17702,260,7236.357142857143,245.64285714285714
SP,2020-07-12,371997,5107,17848,146,7161.428571428572,250.71428571428572
SP,2020-07-13,374607,2610,17907,59,7104.428571428572,250.64285714285714
SP,2020-07-14,386607,12000,18324,417,7516.214285714285,254.35714285714286
SP,2020-07-15,393176,6569,18640,316,7374.357142857143,257.85714285714283
SP,2020-07-16,402048,8872,19038,398,7133.5,263.35714285714283
SP,2020-07-17,407415,5367,19377,339,6908.071428571428,263.07142857142856
SP,2020-07-18,412027,4612,19647,270,7106.928571428572,260.7857142857143
SP,2020-07-19,415049,3022,19732,85,6776.428571428572,261.0
SP,2020-07-20,416434,1385,19788,56,6668.857142857143,261.0
SP,2020-07-21,422669,6235,20171,383,6425.785714285715,264.0
SP,2020-07-22,439446,16777,20532,361,7005.785714285715,267.42857142857144
SP,2020-07-23,452007,12561,20894,362,7306.571428571428,269.7142857142857
SP,2020-07-24,463218,11211,21206,312,7436.285714285715,268.85714285714283
SP,2020-07-25,479481,16263,21517,311,8042.214285714285,272.5
SP,2020-07-26,483982,4501,21606,89,7998.928571428572,268.42857142857144
SP,2020-07-27,487654,3672,21676,70,8074.785714285715,269.2142857142857
SP,2020-07-28,487654,0,21676,0,7217.642857142857,239.42857142857142
SP,2020-07-29,514197,26543,22389,713,8644.357142857143,267.7857142857143
SP,2020-07-30,529006,14809,22710,321,9068.42857142857,262.2857142857143
SP,2020-07-31,542304,13298,22997,287,9634.92857142857,258.57142857142856
SP,2020-08-01,552318,10014,23236,239,10020.785714285714,256.35714285714283
SP,2020-08-02,558685,6367,23317,81,10259.714285714286,256.07142857142856
SP,2020-08-03,560218,1533,23365,48,10270.285714285714,255.5
SP,2020-08-04,575589,15371,23702,337,10922.857142857143,252.21428571428572
SP,2020-08-05,585265,9676,24109,407,10415.642857142857,255.5
SP,2020-08-06,598670,13405,24448,339,10475.92857142857,253.85714285714286
SP,2020-08-07,608379,9709,24735,287,10368.642857142857,252.07142857142858
SP,2020-08-08,621731,13352,25016,281,10160.714285714286,249.92857142857142
SP,2020-08-09,627126,5395,25114,98,10224.57142857143,250.57142857142858
SP,2020-08-10,628415,1289,25151,37,10054.357142857143,248.21428571428572
SP,2020-08-11,639562,11147,25571,420,10850.57142857143,278.2142857142857
SP,2020-08-12,655181,15619,25869,298,10070.285714285714,248.57142857142858
SP,2020-08-13,674455,19274,26324,455,10389.214285714286,258.14285714285717
SP,2020-08-14,686122,11667,26613,289,10272.714285714286,258.2857142857143
SP,2020-08-15,697530,11408,26780,167,10372.285714285714,253.14285714285714
SP,2020-08-16,699493,1963,26852,72,10057.714285714286,252.5
SP,2020-08-17,702665,3172,26899,47,10174.785714285714,252.42857142857142
SP,2020-08-18,711530,8865,27315,416,9710.07142857143,258.07142857142856
SP,2020-08-19,721377,9847,27591,276,9722.285714285714,248.71428571428572
SP,2020-08-20,730828,9451,27905,314,9439.857142857143,246.92857142857142
SP,2020-08-21,735960,5132,28155,250,9112.92857142857,244.28571428571428
SP,2020-08-22,749244,13284,28392,237,9108.07142857143,241.14285714285714
SP,2020-08-23,754129,4885,28467,75,9071.642857142857,239.5
SP,2020-08-24,756480,2351,28505,38,9147.5,239.57142857142858
SP,2020-08-25,765670,9190,28912,407,9007.714285714286,238.64285714285714
SP,2020-08-26,776135,10465,29194,282,8639.57142857143,237.5
SP,2020-08-27,784453,8318,29415,221,7857.0,220.78571428571428
SP,2020-08-28,796209,11756,29694,279,7863.357142857143,220.07142857142858
SP,2020-08-29,801422,5213,29944,250,7420.857142857143,226.0
SP,2020-08-30,803404,1982,29978,34,7422.214285714285,223.28571428571428
SP,2020-08-31,804342,938,30014,36,7262.642857142857,222.5
SP,2020-09-01,814375,10033,30375,361,7346.071428571428,218.57142857142858
SP,2020-09-02,826331,11956,30673,298,7496.714285714285,220.14285714285714
SP,2020-09-03,837978,11647,30905,232,7653.571428571428,214.28571428571428
SP,2020-09-04,845016,7038,31091,186,7789.714285714285,209.71428571428572
SP,2020-09-05,853085,8069,31313,222,7417.214285714285,208.64285714285714
SP,2020-09-06,855722,2637,31353,40,7256.642857142857,206.14285714285714
SP,2020-09-07,857330,1608,31377,24,7203.571428571428,205.14285714285714
SP,2020-09-08,858783,1453,31430,53,6650.928571428572,179.85714285714286
SP,2020-09-09,866576,7793,31821,391,6460.071428571428,187.64285714285714
SP,2020-09-10,874754,8178,32104,283,6450.071428571428,192.07142857142858
SP,2020-09-11,882809,8055,32338,234,6185.714285714285,188.85714285714286
SP,2020-09-12,890690,7881,32567,229,6376.285714285715,187.35714285714286
SP,2020-09-13,892257,1567,32606,39,6346.642857142857,187.71428571428572
SP,2020-09-14,893349,1092,32642,36,6357.642857142857,187.71428571428572
SP,2020-09-15,901271,7922,32963,321,6206.857142857143,184.85714285714286
SP,2020-09-16,909428,8157,33253,290,5935.5,184.28571428571428
SP,2020-09-17,916821,7393,33472,219,5631.642857142857,183.35714285714286
SP,2020-09-18,924532,7711,33678,206,5679.714285714285,184.78571428571428
SP,2020-09-19,931673,7141,33927,249,5613.428571428572,186.71428571428572
SP,2020-09-20,935300,3627,33952,25,5684.142857142857,185.64285714285714
SP,2020-09-21,937332,2032,33984,32,5714.428571428572,186.21428571428572
SP,2020-09-22,945422,8090,34266,282,6188.5,202.57142857142858
SP,2020-09-23,951973,6551,34492,226,6099.785714285715,190.78571428571428
SP,2020-09-24,958240,6267,34677,185,5963.285714285715,183.78571428571428
SP,2020-09-25,964921,6681,34877,200,5865.142857142857,181.35714285714286
SP,2020-09-26,970888,5967,35063,186,5728.428571428572,178.28571428571428
SP,2020-09-27,972237,1349,35108,45,5712.857142857143,178.71428571428572
SP,2020-09-28,973142,905,35125,17,5699.5,177.35714285714286
SP,2020-09-29,979519,6377,35391,266,5589.142857142857,173.42857142857142
SP,2020-09-30,985628,6109,35622,231,5442.857142857143,169.21428571428572
SP,2020-10-01,991725,6097,35804,182,5350.285714285715,166.57142857142858
SP,2020-10-02,997333,5608,35956,152,5200.071428571428,162.71428571428572
SP,2020-10-03,1003429,6096,36136,180,5125.428571428572,157.78571428571428
SP,2020-10-04,1003902,473,36178,42,4900.142857142857,159.0
SP,2020-10-05,1004579,677,36220,42,4803.357142857143,159.71428571428572
SP,2020-10-06,1010839,6260,36490,270,4672.642857142857,158.85714285714286
SP,2020-10-07,1016755,5916,36669,179,4627.285714285715,155.5
SP,2020-10-08,1022404,5649,36884,215,4583.142857142857,157.64285714285714
SP,2020-10-09,1028190,5786,37068,184,4519.214285714285,156.5
SP,2020-10-10,1034816,6626,37223,155,4566.285714285715,154.28571428571428
SP,2020-10-11,1037660,2844,37256,33,4673.071428571428,153.42857142857142
SP,2020-10-12,1038344,684,37279,23,4657.285714285715,153.85714285714286
SP,2020-10-13,1039029,685,37314,35,4250.714285714285,137.35714285714286
SP,2020-10-14,1045060,6031,37541,227,4245.142857142857,137.07142857142858
SP,2020-10-15,1051613,6553,37690,149,4277.714285714285,134.71428571428572
SP,2020-10-16,1057240,5627,37870,180,4279.071428571428,136.71428571428572
SP,2020-10-17,1062634,5394,37992,122,4228.928571428572,132.57142857142858
SP,2020-10-18,1063602,968,38020,28,4264.285714285715,131.57142857142858
SP,2020-10-19,1064039,437,38035,15,4247.142857142857,129.64285714285714
SP,2020-10-20,1068962,4923,38246,211,4151.642857142857,125.42857142857143
SP,2020-10-21,1073261,4299,38371,125,4036.1428571428573,121.57142857142857
SP,2020-10-22,1076939,3678,38482,111,3895.3571428571427,114.14285714285714
SP,2020-10-23,1083641,6702,38608,126,3960.785714285714,110.0
SP,2020-10-24,1089255,5614,38726,118,3888.5,107.35714285714286
SP,2020-10-25,1091980,2725,38747,21,3880.0,106.5
SP,2020-10-26,1092843,863,38753,6,3892.785714285714,105.28571428571429
SP,2020-10-27,1098207,5364,38885,132,4227.0,112.21428571428571
SP,2020-10-28,1103582,5375,39007,122,4180.142857142857,104.71428571428571
SP,2020-10-29,1108860,5278,39119,112,4089.0714285714284,102.07142857142857
SP,2020-10-30,1113788,4928,39255,136,4039.1428571428573,98.92857142857143
SP,2020-10-31,1116127,2339,39311,56,3820.9285714285716,94.21428571428571
SP,2020-11-01,1117147,1020,39331,20,3824.6428571428573,93.64285714285714
SP,2020-11-02,1117795,648,39346,15,3839.714285714286,93.64285714285714
SP,2020-11-03,1118544,749,39364,18,3541.5714285714284,79.85714285714286
SP,2020-11-04,1123299,4755,39549,185,3574.1428571428573,84.14285714285714
SP,2020-11-05,1125936,2637,39717,168,3499.785714285714,88.21428571428571
SP,2020-11-06,1125936,0,39717,0,3021.0714285714284,79.21428571428571
SP,2020-11-07,1125936,0,39717,0,2620.0714285714284,70.78571428571429
SP,2020-11-08,1125936,0,39717,0,2425.4285714285716,69.28571428571429
SP,2020-11-09,1125936,0,39717,0,2363.785714285714,68.85714285714286
SP,2020-11-10,1125936,0,39717,0,1980.642857142857,59.42857142857143
SP,2020-11-11,1150872,24936,39907,190,3377.8571428571427,64.28571428571429
SP,2020-11-12,1156652,5780,40202,295,3413.714285714286,77.35714285714286
SP,2020-11-13,1162782,6130,40202,0,3499.5714285714284,67.64285714285714
SP,2020-11-14,1167422,4640,40549,347,3663.9285714285716,88.42857142857143
SP,2020-11-15,1168640,1218,40564,15,3678.0714285714284,88.07142857142857
SP,2020-11-16,1169377,737,40576,12,3684.4285714285716,87.85714285714286
SP,2020-11-17,1178075,8698,40749,173,4252.214285714285,98.92857142857143
SP,2020-11-18,1184496,6421,40927,178,4371.214285714285,98.42857142857143
SP,2020-11-19,1191290,6794,41074,147,4668.142857142857,96.92857142857143
SP,2020-11-20,1200348,9058,41179,105,5315.142857142857,104.42857142857143
SP,2020-11-21,1205435,5087,41256,77,5678.5,109.92857142857143
SP,2020-11-22,1209588,4153,41267,11,5975.142857142857,110.71428571428571
SP,2020-11-23,1210625,1037,41276,9,6049.214285714285,111.35714285714286
SP,2020-11-24,1215844,5219,41455,179,6422.0,124.14285714285714
SP,2020-11-25,1224744,8900,41601,146,5276.571428571428,121.0
SP,2020-11-26,1229267,4523,41773,172,5186.785714285715,112.21428571428571
SP,2020-11-27,1233587,4320,41902,129,5057.5,121.42857142857143
SP,2020-11-28,1238094,4507,42048,146,5048.0,107.07142857142857
SP,2020-11-29,1240473,2379,42076,28,5130.928571428572,108.0
SP,2020-11-30,1241653,1180,42095,19,5162.571428571428,108.5
SP,2020-12-01,1250590,8937,42290,195,5179.642857142857,110.07142857142857
SP,2020-12-02,1259704,9114,42456,166,5372.0,109.21428571428571
SP,2020-12-03,1267912,8208,42637,181,5473.0,111.64285714285714
SP,2020-12-04,1276149,8237,42788,151,5414.357142857143,114.92857142857143
SP,2020-12-05,1285087,8938,42969,181,5689.428571428572,122.35714285714286
SP,2020-12-06,1287762,2675,43015,46,5583.857142857143,124.85714285714286
SP,2020-12-07,1288878,1116,43040,25,5589.5,126.0
SP,2020-12-08,1296801,7923,43282,242,5782.642857142857,130.5
SP,2020-12-09,1306585,9784,43461,179,5845.785714285715,132.85714285714286
SP,2020-12-10,1316371,9786,43661,200,6221.714285714285,134.85714285714286
SP,2020-12-11,1325162,8791,43802,141,6541.071428571428,135.71428571428572
SP,2020-12-12,1333763,8601,43971,169,6833.5,137.35714285714286
SP,2020-12-13,1334703,940,44018,47,6730.714285714285,138.71428571428572
SP,2020-12-14,1337016,2313,44050,32,6811.642857142857,139.64285714285714
SP,2020-12-15,1341428,4412,44282,232,6488.428571428572,142.28571428571428
SP,2020-12-16,1341428,0,44282,0,5837.428571428572,130.42857142857142
SP,2020-12-17,1361731,20303,44681,399,6701.357142857143,146.0
SP,2020-12-18,1371653,9922,44878,197,6821.714285714285,149.28571428571428
SP,2020-12-19,1384100,12447,45029,151,7072.357142857143,147.14285714285714
SP,2020-12-20,1384100,0,45029,0,6881.285714285715,143.85714285714286
SP,2020-12-21,1388043,3943,45136,107,7083.214285714285,149.71428571428572
SP,2020-12-22,1398757,10714,45395,259,7282.571428571428,150.92857142857142
SP,2020-12-23,1409140,10383,45576,181,7325.357142857143,151.07142857142858
SP,2020-12-24,1418491,9351,45758,182,7294.285714285715,149.78571428571428
SP,2020-12-25,1422087,3596,45795,37,6923.214285714285,142.35714285714286
SP,2020-12-26,1423340,1253,45808,13,6398.357142857143,131.21428571428572
SP,2020-12-27,1426176,2836,45863,55,6533.785714285715,131.78571428571428
SP,2020-12-28,1427752,1576,45902,39,6481.142857142857,132.28571428571428
SP,2020-12-29,1440229,12477,46195,293,7057.214285714285,136.64285714285714
SP,2020-12-30,1452078,11849,46477,282,7903.571428571428,156.78571428571428
SP,2020-12-31,1462297,10219,46717,240,7183.285714285715,145.42857142857142
SP,2021-01-01,1466191,3894,46775,58,6752.714285714285,135.5
SP,2021-01-02,1467953,1762,46808,33,5989.5,127.07142857142857
SP,2021-01-03,1471422,3469,46845,37,6237.285714285715,129.71428571428572
SP,2021-01-04,1473670,2248,46888,43,6116.214285714285,125.14285714285714
SP,2021-01-05,1486551,12881,47222,334,6271.0,130.5
SP,2021-01-06,1501085,14534,47511,289,6567.5,138.21428571428572
SP,2021-01-07,1515158,14073,47768,257,6904.785714285715,143.57142857142858
SP,2021-01-08,1528952,13794,48029,261,7633.214285714285,159.57142857142858
SP,2021-01-09,1540513,11561,48298,269,8369.5,177.85714285714286
SP,2021-01-10,1546132,5619,48351,53,8568.285714285714,177.71428571428572
SP,2021-01-11,1549142,3010,48379,28,8670.714285714286,176.92857142857142
SP,2021-01-12,1561844,12702,48662,283,8686.785714285714,176.21428571428572
SP,2021-01-13,1577119,15275,48985,323,8931.5,179.14285714285714
SP,2021-01-14,1590829,13710,49289,304,9180.857142857143,183.71428571428572
SP,2021-01-15,1605845,15016,49600,311,9975.285714285714,201.78571428571428
SP,2021-01-16,1619619,13774,49885,285,10833.285714285714,219.78571428571428
SP,2021-01-17,1625339,5720,49945,60,10994.07142857143,221.42857142857142
SP,2021-01-18,1628272,2933,49987,42,11043.0,221.35714285714286
SP,2021-01-19,1644225,15953,50318,331,11262.42857142857,221.14285714285714
SP,2021-01-20,1658636,14411,50652,334,11253.642857142857,224.35714285714286
SP,2021-01-21,1670754,12118,50938,286,11114.0,226.42857142857142
SP,2021-01-22,1679759,9005,51192,254,10771.92857142857,225.92857142857142
SP,2021-01-23,1694355,14596,51423,231,10988.714285714286,223.21428571428572
SP,2021-01-24,1699427,5072,51502,79,10949.642857142857,225.07142857142858
SP,2021-01-25,1702294,2867,51556,54,10939.42857142857,226.92857142857142
SP,2021-01-26,1715253,12959,51838,282,10957.785714285714,226.85714285714286
SP,2021-01-27,1731294,16041,52170,332,11012.5,227.5
SP,2021-01-28,1746070,14776,52481,311,11088.642857142857,228.0
SP,2021-01-29,1759957,13887,52722,241,11008.0,223.0
SP,2021-01-30,1773024,13067,52954,232,10957.5,219.21428571428572
SP,2021-01-31,1777368,4344,53034,80,10859.214285714286,220.64285714285714
SP,2021-02-01,1779722,2354,53090,56,10817.857142857143,221.64285714285714
SP,2021-02-02,1794019,14297,53455,365,10699.57142857143,224.07142857142858
SP,2021-02-03,1807009,12990,53704,249,10598.07142857143,218.0
SP,2021-02-04,1820941,13932,53997,293,10727.642857142857,218.5
SP,2021-02-05,1833163,12222,54324,327,10957.42857142857,223.71428571428572
