date,cases,daily cases,deaths,daily deaths,daily cases moving average,daily deaths moving average
2020-05-15,217209,15068,14801,824,8985.57142857143,603.9285714285714
2020-05-16,232163,14954,15618,817,9701.0,634.2142857142857
2020-05-17,240098,7935,16105,487,9935.214285714286,648.0
2020-05-18,253185,13087,16777,672,10405.857142857143,676.2857142857143
2020-05-19,270085,16900,17953,1176,11115.92857142857,717.5714285714286
2020-05-20,289861,19776,18842,889,11775.92857142857,736.8571428571429
2020-05-21,308331,18470,20028,1186,12390.285714285714,778.2142857142857
2020-05-22,328955,20624,21026,998,13146.214285714286,795.7857142857143
2020-05-23,345182,16227,21988,962,13553.785714285714,812.1428571428571
2020-05-24,361246,16064,22644,656,14221.0,823.6428571428571
2020-05-25,372725,11479,23453,809,14638.785714285714,853.2142857142857
2020-05-26,388964,16239,24489,1036,15141.857142857143,864.2857142857143
2020-05-27,409707,20743,25574,1085,15814.57142857143,888.3571428571429
2020-05-28,435894,26187,26712,1138,16696.64285714286,909.6428571428571
2020-05-29,463542,27648,27852,1140,17595.214285714286,932.2142857142857
2020-05-30,497547,34005,28805,953,18956.0,941.9285714285714
2020-05-31,511926,14379,29283,478,19416.285714285714,941.2857142857143
2020-06-01,524186,12260,29906,623,19357.214285714286,937.7857142857143
2020-06-02,553091,28905,31167,1261,20214.714285714286,943.8571428571429
2020-06-03,581163,28072,32513,1346,20807.285714285714,976.5
2020-06-04,612235,31072,33982,1469,21707.428571428572,996.7142857142857
2020-06-05,642856,30621,34985,1003,22421.5,997.0714285714286
2020-06-06,669872,27016,35886,901,23192.14285714286,992.7142857142857
2020-06-07,688774,18902,36407,521,23394.85714285714,983.0714285714286
2020-06-08,704216,15442,37085,678,23677.928571428572,973.7142857142857
2020-06-09,736399,32183,38355,1270,24816.785714285714,990.4285714285714
2020-06-10,769256,32857,39625,1270,25682.071428571428,1003.6428571428571
2020-06-11,799478,30222,40861,1236,25970.285714285714,1010.6428571428571
2020-06-12,825436,25958,41770,909,25849.571428571428,994.1428571428571
2020-06-13,847162,21726,42663,893,24972.5,989.8571428571429
2020-06-14,864280,17118,43273,610,25168.14285714286,999.2857142857143
2020-06-15,884900,20620,43900,627,25765.285714285714,999.5714285714286
2020-06-16,919781,34881,45181,1281,26192.14285714286,1001.0
2020-06-17,951810,32029,46447,1266,26474.785714285714,995.2857142857143
2020-06-18,974476,22666,47682,1235,25874.35714285714,978.5714285714286
2020-06-19,1028622,54146,48885,1203,27554.714285714286,992.8571428571429
2020-06-20,1063186,34564,49905,1020,28093.85714285714,1001.3571428571429
2020-06-21,1080485,17299,50532,627,27979.35714285714,1008.9285714285714
2020-06-22,1101861,21376,51184,652,28403.214285714286,1007.0714285714286
2020-06-23,1141171,39310,52557,1373,28912.285714285714,1014.4285714285714
2020-06-24,1184025,42854,53746,1189,29626.35714285714,1008.6428571428571
2020-06-25,1223304,39279,54884,1138,30273.285714285714,1001.6428571428571
2020-06-26,1270302,46998,55873,989,31776.14285714286,1007.3571428571429
2020-06-27,1308429,38127,56979,1106,32947.642857142855,1022.5714285714286
2020-06-28,1338762,30333,57530,551,33891.57142857143,1018.3571428571429
2020-06-29,1362713,23951,58221,691,34129.5,1022.9285714285714
2020-06-30,1398172,35459,59500,1279,34170.78571428572,1022.7857142857143
2020-07-01,1442814,44642,60537,1037,35071.71428571428,1006.4285714285714
2020-07-02,1490832,48018,61786,1249,36882.57142857143,1007.4285714285714
2020-07-03,1532796,41964,63071,1285,36012.42857142857,1013.2857142857143
2020-07-04,1570957,38161,64159,1088,36269.357142857145,1018.1428571428571
2020-07-05,1596947,25990,64758,599,36890.142857142855,1016.1428571428571
2020-07-06,1617110,20163,65377,619,36803.5,1013.7857142857143
2020-07-07,1662484,45374,66644,1267,37236.642857142855,1006.2142857142857
2020-07-08,1706964,44480,67865,1221,37352.78571428572,1008.5
2020-07-09,1749371,42407,69083,1218,37576.21428571428,1014.2142857142857
2020-07-10,1794350,44979,70297,1214,37432.0,1030.2857142857142
2020-07-11,1833308,38958,71368,1071,37491.357142857145,1027.7857142857142
2020-07-12,1858089,24781,71997,629,37094.78571428572,1033.357142857143
2020-07-13,1878299,20210,72729,732,36827.57142857143,1036.2857142857142
2020-07-14,1919777,41478,74008,1279,37257.5,1036.2857142857142
2020-07-15,1959456,39679,75258,1250,36903.0,1051.5
2020-07-16,2005068,45612,76579,1321,36731.142857142855,1056.642857142857
2020-07-17,2039145,34077,77739,1160,36167.78571428572,1047.7142857142858
2020-07-18,2067656,28511,78659,920,35478.5,1035.7142857142858
2020-07-19,2091110,23454,79373,714,35297.357142857145,1043.9285714285713
2020-07-20,2111313,20203,80003,630,35300.21428571428,1044.7142857142858
2020-07-21,2152129,40816,81364,1361,34974.642857142855,1051.4285714285713
2020-07-22,2219823,67694,82646,1282,36632.78571428572,1055.7857142857142
2020-07-23,2279713,59890,83954,1308,37881.57142857143,1062.2142857142858
2020-07-24,2335384,55671,85109,1155,38645.28571428572,1058.0
2020-07-25,2386356,50972,86315,1206,39503.42857142857,1067.642857142857
2020-07-26,2410798,24442,86861,546,39479.21428571428,1061.7142857142858
2020-07-27,2434045,23247,87481,620,39696.142857142855,1053.7142857142858
2020-07-28,2474716,40671,88399,918,39638.5,1027.9285714285713
2020-07-29,2543042,68326,89989,1590,41684.71428571428,1052.2142857142858
2020-07-30,2601024,57982,91117,1128,42568.28571428572,1038.4285714285713
2020-07-31,2653151,52127,92328,1211,43857.57142857143,1042.0714285714287
2020-08-01,2698295,45144,93417,1089,45045.642857142855,1054.142857142857
2020-08-02,2724157,25862,93958,541,45217.642857142855,1041.7857142857142
2020-08-03,2740731,16574,94519,561,44958.42857142857,1036.857142857143
2020-08-04,2792117,51386,95672,1153,45713.42857142857,1022.0
2020-08-05,2849006,56889,96807,1135,44941.642857142855,1011.5
2020-08-06,2901838,52832,98335,1528,44437.5,1027.2142857142858
2020-08-07,2951748,49910,99407,1072,44026.0,1021.2857142857143
2020-08-08,3001481,49733,100312,905,43937.5,999.7857142857143
2020-08-09,3024437,22956,100882,570,43831.357142857145,1001.5
2020-08-10,3046379,21942,101580,698,43738.142857142855,1007.0714285714286
2020-08-11,3098206,51827,102851,1271,44535.0,1032.2857142857142
2020-08-12,3152893,54687,104025,1174,43560.78571428572,1002.5714285714286
2020-08-13,3212671,59778,105286,1261,43689.07142857143,1012.0714285714286
2020-08-14,3262950,50279,106347,1061,43557.07142857143,1001.3571428571429
2020-08-15,3304430,41480,107056,709,43295.357142857145,974.2142857142857
2020-08-16,3327443,23013,107676,620,43091.857142857145,979.8571428571429
2020-08-17,3346714,19271,108351,675,43284.5,988.0
2020-08-18,3394284,47570,109704,1353,43011.92857142857,1002.2857142857143
2020-08-19,3443158,48874,110912,1208,42439.42857142857,1007.5
2020-08-20,3488347,45189,112119,1207,41893.5,984.5714285714286
2020-08-21,3518599,30252,113170,1051,40489.357142857145,983.0714285714286
2020-08-22,3568302,49703,114060,890,40487.21428571428,982.0
2020-08-23,3591661,23359,114550,490,40516.0,976.2857142857143
2020-08-24,3608650,16989,115112,562,40162.21428571428,966.5714285714286
2020-08-25,3655820,47170,116381,1269,39829.57142857143,966.4285714285714
2020-08-26,3702599,46779,117463,1082,39264.71428571428,959.8571428571429
2020-08-27,3746614,44015,118443,980,38138.78571428572,939.7857142857143
2020-08-28,3789740,43126,119297,854,37627.857142857145,925.0
2020-08-29,3830949,41209,120251,954,37608.5,942.5
2020-08-30,3847069,16120,120614,363,37116.142857142855,924.1428571428571
2020-08-31,3892355,45286,121165,551,38974.357142857145,915.2857142857143
2020-09-01,3934853,42498,122379,1214,38612.07142857143,905.3571428571429
2020-09-02,3981594,46741,123564,1185,38459.71428571428,903.7142857142857
2020-09-03,4025364,43770,124462,898,38358.357142857145,881.6428571428571
2020-09-04,4075914,50550,125367,905,39808.21428571428,871.2142857142857
2020-09-05,4105584,29670,126048,681,38377.28571428572,856.2857142857143
2020-09-06,4120707,15123,126496,448,37789.0,853.2857142857143
2020-09-07,4130861,10154,126806,310,37300.78571428572,835.2857142857143
2020-09-08,4145083,14222,127309,503,34947.357142857145,780.5714285714286
2020-09-09,4180675,35592,128383,1074,34148.28571428572,780.0
2020-09-10,4221148,40473,129364,981,33895.28571428572,780.0714285714286
2020-09-11,4264793,43645,130237,873,33932.357142857145,781.4285714285714
2020-09-12,4297276,32483,131050,813,33309.07142857143,771.3571428571429
2020-09-13,4312010,14734,131465,415,33210.07142857143,775.0714285714286
2020-09-14,4327117,15107,131845,380,31054.428571428572,762.8571428571429
2020-09-15,4363674,36557,132958,1113,30630.071428571428,755.6428571428571
2020-09-16,4400388,36714,133940,982,29913.85714285714,741.1428571428571
2020-09-17,4436541,36153,134767,827,29369.785714285714,736.0714285714286
2020-09-18,4476197,39656,135624,857,28591.64285714286,732.6428571428571
2020-09-19,4509183,32986,136360,736,28828.5,736.5714285714286
2020-09-20,4525530,16347,136722,362,28915.928571428572,730.4285714285714
2020-09-21,4538897,13367,137098,376,29145.428571428572,735.1428571428571
2020-09-22,4572159,33262,137933,835,30505.428571428572,758.8571428571429
2020-09-23,4605375,33216,138800,867,30335.714285714286,744.0714285714286
2020-09-24,4638138,32763,139625,825,29785.0,732.9285714285714
2020-09-25,4669977,31839,140354,729,28941.714285714286,722.6428571428571
2020-09-26,4698163,28186,141221,867,28634.785714285714,726.5
2020-09-27,4712444,14281,141556,335,28602.428571428572,720.7857142857143
2020-09-28,4725590,13146,141871,315,28462.35714285714,716.1428571428571
2020-09-29,4757605,32015,142730,859,28137.928571428572,698.0
2020-09-30,4790951,33346,143761,1031,27897.35714285714,701.5
2020-10-01,4827117,36166,144487,726,27898.285714285714,694.2857142857143
2020-10-02,4860365,33248,145194,707,27440.571428571428,683.5714285714286
2020-10-03,4886574,26209,145792,598,26956.5,673.7142857142857
2020-10-04,4894981,8407,146157,365,26389.35714285714,673.9285714285714
2020-10-05,4906929,11948,146480,323,26288.0,670.1428571428571
2020-10-06,4947674,40745,147298,818,26822.5,668.9285714285714
2020-10-07,4979400,31726,148031,733,26716.071428571428,659.3571428571429
2020-10-08,5007144,27744,148759,728,26357.571428571428,652.4285714285714
2020-10-09,5034518,27374,149439,680,26038.64285714286,648.9285714285714
2020-10-10,5061134,26616,149993,554,25926.5,626.5714285714286
2020-10-11,5073427,12293,150280,287,25784.5,623.1428571428571
2020-10-12,5081847,8420,150481,201,25446.928571428572,615.0
2020-10-13,5092013,10166,150789,308,23886.285714285714,575.6428571428571
2020-10-14,5119252,27239,151537,748,23450.071428571428,555.4285714285714
2020-10-15,5147737,28485,152249,712,22901.428571428572,554.4285714285714
2020-10-16,5178523,30786,153003,754,22725.571428571428,557.7857142857143
2020-10-17,5202449,23926,153461,458,22562.5,547.7857142857143
2020-10-18,5213392,10943,153689,228,22743.64285714286,538.0
2020-10-19,5228619,15227,153959,270,22977.85714285714,534.2142857142857
2020-10-20,5251624,23005,154620,661,21710.714285714286,523.0
2020-10-21,5276389,24765,155184,564,21213.5,510.92857142857144
2020-10-22,5301189,24800,155681,497,21003.214285714286,494.42857142857144
2020-10-23,5331098,29909,156249,568,21184.285714285714,486.42857142857144
2020-10-24,5357978,26880,156680,431,21203.14285714286,477.64285714285717
2020-10-25,5371435,13457,156910,230,21286.285714285714,473.57142857142856
2020-10-26,5387112,15677,157172,262,21804.64285714286,477.92857142857144
2020-10-27,5416762,29650,157719,547,23196.35714285714,495.0
2020-10-28,5445255,28493,158227,508,23285.928571428572,477.85714285714283
2020-10-29,5471313,26058,158740,513,23112.571428571428,463.64285714285717
2020-10-30,5493527,22214,159246,506,22500.285714285714,445.92857142857144
2020-10-31,5512395,18868,159652,406,22139.0,442.2142857142857
2020-11-01,5522501,10106,159842,190,22079.214285714286,439.5
2020-11-02,5530968,8467,160021,179,21596.35714285714,433.0
2020-11-03,5542772,11804,160263,242,20796.285714285714,403.07142857142856
2020-11-04,5566693,23921,160873,610,20736.0,406.35714285714283
2020-11-05,5588870,22177,161502,629,20548.64285714286,415.7857142857143
2020-11-06,5610164,21294,161804,302,19933.285714285714,396.7857142857143
2020-11-07,5629893,19729,162034,230,19422.5,382.42857142857144
2020-11-08,5640414,10521,162161,127,19212.785714285714,375.07142857142856
2020-11-09,5650876,10462,162392,231,18840.285714285714,372.85714285714283
2020-11-10,5675723,24847,162593,201,18497.214285714286,348.14285714285717
2020-11-11,5723972,48249,163137,544,19908.35714285714,350.7142857142857
2020-11-12,5757092,33120,164046,909,20412.785714285714,379.0
2020-11-13,5786069,28977,164502,456,20895.85714285714,375.42857142857144
2020-11-14,5823983,37914,165420,918,22256.285714285714,412.0
2020-11-15,5838010,14027,165560,140,22536.35714285714,408.42857142857144
2020-11-16,5851210,13200,165775,215,22874.428571428572,411.0
2020-11-17,5886361,35151,166459,684,24542.071428571428,442.57142857142856
2020-11-18,5920106,33745,167214,755,25243.785714285714,452.92857142857144
