index,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
0,2020-02-25,0.0,0,0,0,,,,
1,2020-02-26,1.0,1,0,0,,,,
2,2020-02-27,1.0,0,0,0,,,,
3,2020-02-28,1.0,0,0,0,,,,
4,2020-02-29,2.0,1,0,0,,,,
5,2020-03-01,2.0,0,0,0,,,,
6,2020-03-02,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
7,2020-03-03,2.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
8,2020-03-04,3.0,1,0,0,0.2857142857142857,0.0,2.0,0.0
9,2020-03-05,7.0,4,0,0,0.8571428571428571,0.0,6.0,0.0
10,2020-03-06,13.0,6,0,0,1.7142857142857142,0.0,12.0,0.0
11,2020-03-07,19.0,6,0,0,2.4285714285714284,0.0,17.0,0.0
12,2020-03-08,25.0,6,0,0,3.2857142857142856,0.0,23.0,0.0
13,2020-03-09,25.0,0,0,0,3.2857142857142856,0.0,23.0,0.0
14,2020-03-10,34.0,9,0,0,4.571428571428571,0.0,32.0,0.0
15,2020-03-11,52.0,18,0,0,7.0,0.0,49.0,0.0
16,2020-03-12,77.0,25,0,0,10.0,0.0,70.0,0.0
17,2020-03-13,98.0,21,0,0,12.142857142857142,0.0,85.0,0.0
18,2020-03-14,121.0,23,0,0,14.571428571428571,0.0,102.0,0.0
19,2020-03-15,200.0,79,0,0,25.0,0.0,175.0,0.0
20,2020-03-16,234.0,34,0,0,29.857142857142858,0.0,209.0,0.0
21,2020-03-17,291.0,57,1,1,36.714285714285715,0.14285714285714285,257.0,1.0
22,2020-03-18,428.0,137,4,3,53.714285714285715,0.5714285714285714,376.0,4.0
23,2020-03-19,621.0,193,6,2,77.71428571428571,0.8571428571428571,544.0,6.0
24,2020-03-20,904.0,283,11,5,115.14285714285714,1.5714285714285714,806.0,11.0
25,2020-03-21,1128.0,224,18,7,143.85714285714286,2.5714285714285716,1007.0,18.0
26,2020-03-22,1546.0,418,25,7,192.28571428571428,3.5714285714285716,1346.0,25.0
27,2020-03-23,1891.0,345,34,9,236.71428571428572,4.857142857142857,1657.0,34.0
28,2020-03-24,2201.0,310,46,12,272.85714285714283,6.428571428571429,1910.0,45.0
29,2020-03-25,2433.0,232,57,11,286.42857142857144,7.571428571428571,2005.0,53.0
30,2020-03-26,2915.0,482,77,20,327.7142857142857,10.142857142857142,2294.0,71.0
31,2020-03-27,3417.0,502,92,15,359.0,11.571428571428571,2513.0,81.0
32,2020-03-28,3903.0,486,114,22,396.42857142857144,13.714285714285714,2775.0,96.0
33,2020-03-29,4256.0,353,136,22,387.14285714285717,15.857142857142858,2710.0,111.0
34,2020-03-30,4579.0,323,159,23,384.0,17.857142857142858,2688.0,125.0
35,2020-03-31,5717.0,1138,201,42,502.2857142857143,22.142857142857142,3516.0,155.0
36,2020-04-01,6834.0,1117,241,40,628.7142857142857,26.285714285714285,4401.0,184.0
37,2020-04-02,7910.0,1076,299,58,713.5714285714286,31.714285714285715,4995.0,222.0
38,2020-04-03,9056.0,1146,359,60,805.5714285714286,38.142857142857146,5639.0,267.0
39,2020-04-04,10278.0,1222,432,73,910.7142857142857,45.42857142857143,6375.0,318.0
40,2020-04-05,11130.0,852,486,54,982.0,50.0,6874.0,350.0
41,2020-04-06,12056.0,926,553,67,1068.142857142857,56.285714285714285,7477.0,394.0
42,2020-04-07,13717.0,1661,667,114,1142.857142857143,66.57142857142857,8000.0,466.0
43,2020-04-08,15927.0,2210,800,133,1299.0,79.85714285714286,9093.0,559.0
44,2020-04-09,17857.0,1930,941,141,1421.0,91.71428571428571,9947.0,642.0
45,2020-04-10,19638.0,1781,1056,115,1511.7142857142858,99.57142857142857,10582.0,697.0
46,2020-04-11,20727.0,1089,1124,68,1492.7142857142858,98.85714285714286,10449.0,692.0
47,2020-04-12,22169.0,1442,1223,99,1577.0,105.28571428571429,11039.0,737.0
48,2020-04-13,23430.0,1261,1328,105,1624.857142857143,110.71428571428571,11374.0,775.0
