index,estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
11675,São Paulo,2020-02-25,0.0,0,0,0,1027.0,18.428571428571427,7189.0,129.0
11676,São Paulo,2020-02-26,0.5,0,0,0,829.1428571428571,15.571428571428571,5804.0,109.0
11677,São Paulo,2020-02-27,0.5,0,0,0,633.2857142857143,12.285714285714286,4433.0,86.0
11678,São Paulo,2020-02-28,0.5,0,0,0,472.7142857142857,8.857142857142858,3309.0,62.0
11679,São Paulo,2020-02-29,1.0,0,0,0,344.57142857142856,5.714285714285714,2412.0,40.0
11680,São Paulo,2020-03-01,1.0,0,0,0,223.0,2.857142857142857,1561.0,20.0
11681,São Paulo,2020-03-02,1.0,0,0,0,0.0,0.0,0.0,0.0
11682,São Paulo,2020-03-03,1.0,0,0,0,0.0,0.0,0.0,0.0
11683,São Paulo,2020-03-04,1.5,0,0,0,0.0,0.0,0.0,0.0
11684,São Paulo,2020-03-05,3.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
11685,São Paulo,2020-03-06,5.0,2,0,0,0.42857142857142855,0.0,3.0,0.0
11686,São Paulo,2020-03-07,6.5,1,0,0,0.5714285714285714,0.0,4.0,0.0
11687,São Paulo,2020-03-08,8.0,1,0,0,0.7142857142857143,0.0,5.0,0.0
11688,São Paulo,2020-03-09,8.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
11689,São Paulo,2020-03-10,9.5,1,0,0,0.8571428571428571,0.0,6.0,0.0
11690,São Paulo,2020-03-11,15.0,5,0,0,1.5714285714285714,0.0,11.0,0.0
11691,São Paulo,2020-03-12,21.0,6,0,0,2.2857142857142856,0.0,16.0,0.0
11692,São Paulo,2020-03-13,28.0,7,0,0,3.0,0.0,21.0,0.0
11693,São Paulo,2020-03-14,32.5,4,0,0,3.4285714285714284,0.0,24.0,0.0
11694,São Paulo,2020-03-15,68.0,35,0,0,8.285714285714286,0.0,58.0,0.0
11695,São Paulo,2020-03-16,76.0,8,0,0,9.428571428571429,0.0,66.0,0.0
11696,São Paulo,2020-03-17,82.0,6,0,0,10.142857142857142,0.0,71.0,0.0
11697,São Paulo,2020-03-18,120.0,38,2,1,14.857142857142858,0.14285714285714285,104.0,1.0
11698,São Paulo,2020-03-19,143.0,23,2,0,17.285714285714285,0.14285714285714285,121.0,1.0
11699,São Paulo,2020-03-20,198.0,55,4,2,24.142857142857142,0.42857142857142855,169.0,3.0
11700,São Paulo,2020-03-21,229.5,31,7,3,28.0,0.8571428571428571,196.0,6.0
11701,São Paulo,2020-03-22,315.5,86,11,3,35.285714285714285,1.2857142857142858,247.0,9.0
11702,São Paulo,2020-03-23,372.5,57,15,4,42.285714285714285,1.8571428571428572,296.0,13.0
11703,São Paulo,2020-03-24,405.0,32,20,5,46.0,2.5714285714285716,322.0,18.0
11704,São Paulo,2020-03-25,431.0,26,24,4,44.285714285714285,3.0,310.0,21.0
11705,São Paulo,2020-03-26,526.0,95,29,5,54.57142857142857,3.7142857142857144,382.0,26.0
11706,São Paulo,2020-03-27,611.5,85,34,5,58.857142857142854,4.142857142857143,412.0,29.0
11707,São Paulo,2020-03-28,1406.0,794,84,50,167.85714285714286,10.857142857142858,1175.0,76.0
11708,São Paulo,2020-03-29,1451.0,45,98,14,162.0,12.428571428571429,1134.0,87.0
11709,São Paulo,2020-03-30,1517.0,66,113,15,163.28571428571428,14.0,1143.0,98.0
11710,São Paulo,2020-03-31,2339.0,822,136,23,276.14285714285717,16.571428571428573,1933.0,116.0
11711,São Paulo,2020-04-01,2981.0,642,164,28,364.14285714285717,20.0,2549.0,140.0
11712,São Paulo,2020-04-02,3506.0,525,188,24,425.57142857142856,22.714285714285715,2979.0,159.0
11713,São Paulo,2020-04-03,4048.0,542,219,31,490.85714285714283,26.428571428571427,3436.0,185.0
11714,São Paulo,2020-04-04,4466.0,418,260,41,437.14285714285717,25.142857142857142,3060.0,176.0
11715,São Paulo,2020-04-05,4620.0,154,275,15,452.7142857142857,25.285714285714285,3169.0,177.0
11716,São Paulo,2020-04-06,4866.0,246,304,29,478.42857142857144,27.285714285714285,3349.0,191.0
11717,São Paulo,2020-04-07,5682.0,816,371,67,477.57142857142856,33.57142857142857,3343.0,235.0
11718,São Paulo,2020-04-08,6708.0,1026,428,57,532.4285714285714,37.714285714285715,3727.0,264.0
11719,São Paulo,2020-04-09,7480.0,772,496,68,567.7142857142857,44.0,3974.0,308.0
11720,São Paulo,2020-04-10,8216.0,736,540,44,595.4285714285714,45.857142857142854,4168.0,321.0
11721,São Paulo,2020-04-11,8419.0,203,560,20,564.7142857142857,42.857142857142854,3953.0,300.0
11722,São Paulo,2020-04-12,8755.0,336,588,28,590.7142857142857,44.714285714285715,4135.0,313.0
11723,São Paulo,2020-04-13,8895.0,140,608,20,575.5714285714286,43.42857142857143,4029.0,304.0
11724,São Paulo,2020-04-14,9371.0,476,695,87,527.0,46.285714285714285,3689.0,324.0
11725,São Paulo,2020-04-15,11043.0,1672,778,83,619.2857142857143,50.0,4335.0,350.0
11726,São Paulo,2020-04-16,11568.0,525,853,75,584.0,51.0,4088.0,357.0
11727,São Paulo,2020-04-17,12841.0,1273,928,75,660.7142857142857,55.42857142857143,4625.0,388.0
11728,São Paulo,2020-04-18,13894.0,1053,991,63,782.1428571428571,61.57142857142857,5475.0,431.0
11729,São Paulo,2020-04-19,14267.0,373,1015,24,787.4285714285714,61.0,5512.0,427.0
11730,São Paulo,2020-04-20,14580.0,313,1037,22,812.1428571428571,61.285714285714285,5685.0,429.0
11731,São Paulo,2020-04-21,15385.0,805,1093,56,859.1428571428571,56.857142857142854,6014.0,398.0
11732,São Paulo,2020-04-22,15914.0,529,1134,41,695.8571428571429,50.857142857142854,4871.0,356.0
11733,São Paulo,2020-04-23,16740.0,826,1345,211,738.8571428571429,70.28571428571429,5172.0,492.0
11734,São Paulo,2020-04-24,17826.0,1086,1512,167,712.1428571428571,83.42857142857143,4985.0,584.0
11735,São Paulo,2020-04-25,20004.0,2178,1667,155,872.8571428571429,96.57142857142857,6110.0,676.0
11736,São Paulo,2020-04-26,20715.0,711,1700,33,921.1428571428571,97.85714285714286,6448.0,685.0
11737,São Paulo,2020-04-27,21696.0,981,1825,125,1016.5714285714286,112.57142857142857,7116.0,788.0
11738,São Paulo,2020-04-28,24041.0,2345,2049,224,1236.5714285714287,136.57142857142858,8656.0,956.0
11739,São Paulo,2020-04-29,26158.0,2117,2247,198,1463.4285714285713,159.0,10244.0,1113.0
11740,São Paulo,2020-04-30,28698.0,2540,2375,128,1708.2857142857142,147.14285714285714,11958.0,1030.0
11741,São Paulo,2020-05-01,30374.0,1676,2511,136,1792.5714285714287,142.71428571428572,12548.0,999.0
11742,São Paulo,2020-05-02,31174.0,800,2586,75,1595.7142857142858,131.28571428571428,11170.0,919.0
11743,São Paulo,2020-05-03,31772.0,598,2627,41,1579.5714285714287,132.42857142857142,11057.0,927.0
11744,São Paulo,2020-05-04,32187.0,415,2654,27,1498.7142857142858,118.42857142857143,10491.0,829.0
11745,São Paulo,2020-05-05,34053.0,1866,2851,197,1430.2857142857142,114.57142857142857,10012.0,802.0
11746,São Paulo,2020-05-06,37853.0,3800,3045,194,1670.7142857142858,114.0,11695.0,798.0
11747,São Paulo,2020-05-07,39928.0,2075,3206,161,1604.2857142857142,118.71428571428571,11230.0,831.0
11748,São Paulo,2020-05-08,41830.0,1902,3416,210,1636.5714285714287,129.28571428571428,11456.0,905.0
11749,São Paulo,2020-05-09,44411.0,2581,3608,192,1891.0,146.0,13237.0,1022.0
11750,São Paulo,2020-05-10,45444.0,1033,3709,101,1953.142857142857,154.57142857142858,13672.0,1082.0
11751,São Paulo,2020-05-11,46131.0,687,3743,34,1992.0,155.57142857142858,13944.0,1089.0
11752,São Paulo,2020-05-12,47719.0,1588,3949,206,1952.2857142857142,156.85714285714286,13666.0,1098.0
11753,São Paulo,2020-05-13,51097.0,3378,4118,169,1892.0,153.28571428571428,13244.0,1073.0
11754,São Paulo,2020-05-14,54286.0,3189,4315,197,2051.1428571428573,158.42857142857142,14358.0,1109.0
11755,São Paulo,2020-05-15,58378.0,4092,4501,186,2364.0,155.0,16548.0,1085.0
11756,São Paulo,2020-05-16,61183.0,2805,4688,187,2396.0,154.28571428571428,16772.0,1080.0
11757,São Paulo,2020-05-17,62345.0,1162,4782,94,2414.4285714285716,153.28571428571428,16901.0,1073.0
11758,São Paulo,2020-05-18,63066.0,721,4823,41,2419.285714285714,154.28571428571428,16935.0,1080.0
11759,São Paulo,2020-05-19,65995.0,2929,5147,324,2610.8571428571427,171.14285714285714,18276.0,1198.0
11760,São Paulo,2020-05-20,69859.0,3864,5363,216,2680.285714285714,177.85714285714286,18762.0,1245.0
11761,São Paulo,2020-05-21,73739.0,3880,5558,195,2779.0,177.57142857142858,19453.0,1243.0
11762,São Paulo,2020-05-22,76871.0,3132,5773,215,2641.8571428571427,181.71428571428572,18493.0,1272.0
11763,São Paulo,2020-05-23,80558.0,3687,6045,272,2767.8571428571427,193.85714285714286,19375.0,1357.0
11764,São Paulo,2020-05-24,82161.0,1603,6163,118,2830.8571428571427,197.28571428571428,19816.0,1381.0
