estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily cases moving average,daily deaths moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
AC,01/01/2021,83378,138,1592,2,,,,
AC,01/02/2021,97640,706,1746,12,,,,
AC,01/03/2020,0,0,0,0,,,,
AC,01/03/2021,115788,720,2024,28,,,,
AC,01/04/2020,86,2,0,0,,,,
AC,01/04/2021,139976,662,2538,14,,,,
AC,01/05/2020,972,164,38,0,341.7142857142857,8.0,2392.0,56.0
AC,01/06/2020,12652,214,322,26,352.57142857142856,11.428571428571429,2468.0,80.0
AC,01/07/2020,27430,924,740,10,383.7142857142857,11.142857142857142,2686.0,78.0
AC,01/08/2020,39860,610,1070,8,470.85714285714283,12.285714285714286,3296.0,86.0
AC,01/09/2020,49680,386,1232,8,423.14285714285717,9.428571428571429,2962.0,66.0
AC,01/10/2020,56818,374,1322,4,476.2857142857143,10.0,3334.0,70.0
AC,01/11/2020,61902,310,1386,0,426.0,8.0,2982.0,56.0
AC,01/12/2020,73126,608,1452,6,489.42857142857144,8.857142857142858,3426.0,62.0
AC,02/01/2021,83882,504,1596,4,530.8571428571429,5.714285714285714,3716.0,40.0
AC,02/02/2021,98098,458,1752,6,464.2857142857143,5.142857142857143,3250.0,36.0
AC,02/03/2020,0,0,0,0,377.14285714285717,4.0,2640.0,28.0
AC,02/03/2021,116162,374,2040,16,375.42857142857144,5.142857142857143,2628.0,36.0
AC,02/04/2020,86,0,0,0,322.0,4.571428571428571,2254.0,32.0
AC,02/04/2021,141702,1726,2560,22,524.2857142857143,7.714285714285714,3670.0,54.0
AC,02/05/2020,1106,134,43,5,456.57142857142856,7.571428571428571,3196.0,53.0
AC,02/06/2020,12930,278,330,8,424.2857142857143,8.142857142857142,2970.0,57.0
AC,02/07/2020,28096,666,756,16,454.0,9.571428571428571,3178.0,67.0
AC,02/08/2020,39932,72,1074,4,464.2857142857143,10.142857142857142,3250.0,71.0
AC,02/09/2020,50054,374,1236,4,464.2857142857143,8.428571428571429,3250.0,59.0
