estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily cases moving average,daily deaths moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
AM,25-02-2020,0,0,0,0,598.0,20.642857142857142,3870.0,134.0
AM,26-02-2020,0,0,0,0,550.2142857142857,19.0,3250.0,112.0
AM,27-02-2020,0,0,0,0,498.5,17.357142857142858,2259.0,90.0
AM,28-02-2020,0,0,0,0,446.07142857142856,15.785714285714286,1830.0,67.0
AM,29-02-2020,0,0,0,0,418.5,14.214285714285714,1547.0,45.0
AM,01-03-2020,0,0,0,0,371.64285714285717,12.642857142857142,739.0,22.0
AM,02-03-2020,0,0,0,0,327.07142857142856,11.142857142857142,0.0,0.0
AM,03-03-2020,0,0,0,0,276.42857142857144,9.571428571428571,0.0,0.0
AM,04-03-2020,0,0,0,0,232.14285714285714,8.0,0.0,0.0
AM,05-03-2020,0,0,0,0,161.35714285714286,6.428571428571429,0.0,0.0
AM,06-03-2020,0,0,0,0,130.71428571428572,4.785714285714286,0.0,0.0
AM,07-03-2020,0,0,0,0,110.5,3.2142857142857144,0.0,0.0
AM,08-03-2020,0,0,0,0,52.785714285714285,1.5714285714285714,0.0,0.0
AM,09-03-2020,0,0,0,0,0.0,0.0,0.0,0.0
AM,10-03-2020,0,0,0,0,0.0,0.0,0.0,0.0
AM,11-03-2020,0,0,0,0,0.0,0.0,0.0,0.0
AM,12-03-2020,0,0,0,0,0.0,0.0,0.0,0.0
AM,13-03-2020,0,0,0,0,0.0,0.0,0.0,0.0
AM,14-03-2020,0,0,0,0,0.0,0.0,0.0,0.0
AM,15-03-2020,0,0,0,0,0.0,0.0,0.0,0.0
AM,16-03-2020,0,0,0,0,0.0,0.0,0.0,0.0
AM,17-03-2020,0,0,0,0,0.0,0.0,0.0,0.0
AM,18-03-2020,0,0,0,0,0.0,0.0,0.0,0.0
AM,19-03-2020,1,1,0,0,0.07142857142857142,0.0,1.0,0.0
AM,20-03-2020,1,0,0,0,0.07142857142857142,0.0,1.0,0.0
AM,21-03-2020,5,4,0,0,0.35714285714285715,0.0,5.0,0.0
AM,22-03-2020,13,7,0,0,0.8571428571428571,0.0,12.0,0.0
AM,23-03-2020,16,3,0,0,1.0714285714285714,0.0,15.0,0.0
AM,24-03-2020,23,7,0,0,1.5714285714285714,0.0,22.0,0.0
AM,25-03-2020,27,3,0,0,1.7857142857142858,0.0,25.0,0.0
AM,26-03-2020,33,6,0,0,2.2142857142857144,0.0,30.0,0.0
AM,27-03-2020,40,7,0,0,2.7142857142857144,0.0,37.0,0.0
AM,28-03-2020,111,70,1,0,7.714285714285714,0.0,103.0,0.0
AM,29-03-2020,140,29,1,0,9.785714285714286,0.0,125.0,0.0
AM,30-03-2020,151,11,1,0,10.571428571428571,0.0,133.0,0.0
AM,31-03-2020,175,24,3,2,12.285714285714286,0.14285714285714285,150.0,2.0
AM,01-04-2020,200,25,3,0,14.071428571428571,0.14285714285714285,172.0,2.0
AM,02-04-2020,229,29,3,0,16.071428571428573,0.14285714285714285,195.0,2.0
AM,03-04-2020,260,31,7,4,18.285714285714285,0.42857142857142855,219.0,6.0
AM,04-04-2020,311,51,12,5,21.642857142857142,0.7857142857142857,200.0,11.0
AM,05-04-2020,417,106,14,2,28.714285714285715,0.9285714285714286,277.0,13.0
AM,06-04-2020,532,115,19,5,36.714285714285715,1.2857142857142858,381.0,18.0
AM,07-04-2020,636,104,23,4,43.642857142857146,1.5714285714285714,461.0,20.0
