estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily cases moving average,daily deaths moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
PB,04-12-2020,148003,729,3338,12,962.0,17.0,6734.0,119.0
PB,05-01-2021,168545,366,3740,18,791.2857142857143,16.142857142857142,5539.0,113.0
PB,05-02-2021,195482,0,4123,13,571.1428571428571,15.142857142857142,3998.0,106.0
PB,05-03-2020,0,0,0,0,349.85714285714283,10.714285714285714,2449.0,75.0
PB,05-03-2021,226536,864,4632,20,367.14285714285717,11.285714285714286,2570.0,79.0
PB,05-04-2020,34,2,4,2,362.85714285714283,10.857142857142858,2540.0,76.0
PB,05-04-2021,264640,1059,5949,43,431.42857142857144,15.428571428571429,3020.0,108.0
PB,05-05-2020,1361,142,85,6,347.57142857142856,14.571428571428571,2433.0,102.0
PB,05-06-2020,18579,1000,451,13,438.14285714285717,13.857142857142858,3067.0,97.0
PB,05-07-2020,52728,422,1099,17,498.42857142857144,14.428571428571429,3489.0,101.0
PB,05-08-2020,87071,1311,1922,21,685.7142857142857,17.428571428571427,4800.0,122.0
PB,05-09-2020,109530,605,2529,12,648.7142857142857,16.285714285714285,4541.0,114.0
PB,05-10-2020,122890,177,2861,10,673.7142857142857,17.428571428571427,4716.0,122.0
PB,05-11-2020,134297,339,3138,8,570.8571428571429,12.428571428571429,3996.0,87.0
PB,05-12-2020,148712,709,3345,7,651.8571428571429,12.571428571428571,4563.0,88.0
PB,06-01-2021,169646,1101,3755,15,666.2857142857143,12.857142857142858,4664.0,90.0
PB,06-02-2021,197460,1978,4135,12,888.5714285714286,12.142857142857142,6220.0,85.0
PB,06-03-2020,0,0,0,0,701.2857142857143,9.142857142857142,4909.0,64.0
PB,06-03-2021,227976,1440,4656,24,820.5714285714286,10.857142857142858,5744.0,76.0
PB,06-04-2020,35,1,4,0,795.4285714285714,9.428571428571429,5568.0,66.0
PB,06-04-2021,265457,817,6001,52,863.7142857142857,15.714285714285714,6046.0,110.0
PB,06-05-2020,1493,132,92,7,781.2857142857143,15.714285714285714,5469.0,110.0
PB,06-06-2020,19787,1208,467,16,796.5714285714286,15.857142857142858,5576.0,111.0
PB,06-07-2020,53151,423,1118,19,574.4285714285714,16.857142857142858,4021.0,118.0
PB,06-08-2020,87867,796,1945,23,688.1428571428571,20.142857142857142,4817.0,141.0
PB,06-09-2020,109673,143,2543,14,502.85714285714283,18.714285714285715,3520.0,131.0
PB,06-10-2020,123564,674,2872,11,599.0,20.285714285714285,4193.0,142.0
PB,06-11-2020,134837,540,3146,8,559.4285714285714,14.0,3916.0,98.0
PB,06-12-2020,149385,673,3359,14,636.7142857142857,15.0,4457.0,105.0
PB,07-01-2021,170611,965,3773,18,602.0,15.285714285714286,4214.0,107.0
PB,07-02-2021,198124,664,4146,11,636.4285714285714,14.142857142857142,4455.0,99.0
PB,07-03-2020,0,0,0,0,522.7142857142857,10.857142857142858,3659.0,76.0
PB,07-03-2021,229194,1218,4679,23,676.2857142857143,12.142857142857142,4734.0,85.0
PB,07-04-2020,36,1,4,0,580.1428571428571,10.571428571428571,4061.0,74.0
PB,07-04-2021,267008,1551,6050,49,724.5714285714286,16.428571428571427,5072.0,115.0
PB,07-05-2020,1657,164,101,9,651.8571428571429,15.714285714285714,4563.0,110.0
PB,07-06-2020,20310,523,484,17,588.7142857142857,15.571428571428571,4121.0,109.0
PB,07-07-2020,54802,1651,1145,27,729.7142857142857,17.857142857142858,5108.0,125.0
PB,07-08-2020,89117,1250,1965,20,908.2857142857143,20.714285714285715,6358.0,145.0
PB,07-09-2020,109706,33,2550,7,739.0,18.428571428571427,5173.0,129.0
PB,07-10-2020,124315,751,2884,12,846.1428571428571,20.142857142857142,5923.0,141.0
PB,07-11-2020,135325,488,3150,4,694.2857142857143,13.714285714285714,4860.0,96.0
PB,07-12-2020,149989,604,3367,8,757.1428571428571,13.571428571428571,5300.0,95.0
PB,08-01-2021,171547,936,3788,15,816.1428571428571,13.285714285714286,5713.0,93.0
PB,08-02-2021,198735,611,4158,12,667.5714285714286,11.142857142857142,4673.0,78.0
PB,08-03-2020,0,0,0,0,489.0,8.285714285714286,3423.0,58.0
PB,08-03-2021,230206,1012,4711,32,628.8571428571429,11.857142857142858,4402.0,83.0
PB,08-04-2020,41,5,4,0,522.2857142857143,10.142857142857142,3656.0,71.0
PB,08-04-2021,268179,1171,6085,35,619.8571428571429,14.571428571428571,4339.0,102.0
PB,08-05-2020,2031,374,114,13,587.0,15.285714285714286,4109.0,107.0
PB,08-06-2020,20951,641,507,23,544.8571428571429,16.428571428571427,3814.0,115.0
PB,08-07-2020,56344,1542,1171,26,677.8571428571429,18.428571428571427,4745.0,129.0
PB,08-08-2020,89893,776,1983,18,788.7142857142857,21.0,5521.0,147.0
PB,08-09-2020,109860,154,2563,13,666.1428571428571,18.285714285714285,4663.0,128.0
PB,08-10-2020,124749,434,2894,10,727.4285714285714,19.714285714285715,5092.0,138.0
PB,08-11-2020,135517,192,3154,4,587.5714285714286,15.285714285714286,4113.0,107.0
PB,08-12-2020,150575,586,3380,13,617.8571428571429,15.285714285714286,4325.0,107.0
PB,09-01-2021,172261,714,3800,12,628.2857142857143,13.714285714285714,4398.0,96.0
PB,09-02-2021,199706,971,4171,13,546.7142857142857,11.857142857142858,3827.0,83.0
PB,09-03-2020,0,0,0,0,435.85714285714283,9.285714285714286,3051.0,65.0
PB,09-03-2021,231406,1200,4747,36,585.2857142857143,12.571428571428571,4097.0,88.0
PB,09-04-2020,55,14,7,3,525.2857142857143,11.571428571428571,3677.0,81.0
PB,09-04-2021,269451,1272,6118,33,679.5714285714286,15.714285714285714,4757.0,110.0
PB,09-05-2020,2156,125,124,10,613.7142857142857,15.285714285714286,4296.0,107.0
PB,09-06-2020,22452,1501,534,27,726.1428571428571,17.428571428571427,5083.0,122.0
PB,09-07-2020,57614,1270,1196,25,768.8571428571429,19.142857142857142,5382.0,134.0
PB,09-08-2020,90082,189,2000,17,795.8571428571429,21.571428571428573,5571.0,151.0
PB,09-09-2020,110727,867,2578,15,748.2857142857143,18.571428571428573,5238.0,130.0
PB,09-10-2020,125285,536,2904,10,822.8571428571429,19.571428571428573,5760.0,137.0
PB,09-11-2020,135604,87,3160,6,653.5714285714286,15.714285714285714,4575.0,110.0
PB,09-12-2020,151312,737,3391,11,741.0,15.857142857142858,5187.0,111.0
PB,10-01-2021,172776,515,3808,8,600.1428571428571,13.142857142857142,4201.0,92.0
PB,10-02-2021,200846,1140,4182,11,581.5714285714286,11.142857142857142,4071.0,78.0
PB,10-03-2020,0,0,0,0,554.5714285714286,8.714285714285714,3882.0,61.0
PB,10-03-2021,232771,1365,4797,50,625.7142857142857,13.714285714285714,4380.0,96.0
PB,10-04-2020,79,24,11,4,552.5714285714286,12.857142857142858,3868.0,90.0
PB,10-04-2021,270931,1480,6157,39,751.5714285714286,17.571428571428573,5261.0,123.0
PB,10-05-2020,2341,185,135,11,672.7142857142857,17.571428571428573,4709.0,123.0
PB,10-06-2020,24032,1580,559,25,824.8571428571429,20.0,5774.0,140.0
PB,10-07-2020,59118,1504,1229,33,876.8571428571429,23.142857142857142,6138.0,162.0
PB,10-08-2020,90366,284,2023,23,917.4285714285714,26.428571428571427,6422.0,185.0
PB,10-09-2020,111495,768,2590,12,832.1428571428571,21.0,5825.0,147.0
PB,10-10-2020,125713,428,2914,10,889.8571428571429,21.857142857142858,6229.0,153.0
PB,10-11-2020,136029,425,3166,6,739.1428571428571,17.142857142857142,5174.0,120.0
PB,10-12-2020,152073,761,3407,16,821.4285714285714,17.857142857142858,5750.0,125.0
PB,11-01-2021,173299,523,3824,16,670.4285714285714,16.571428571428573,4693.0,116.0
PB,11-02-2021,201976,1130,4198,16,617.0,14.142857142857142,4319.0,99.0
PB,11-03-2020,0,0,0,0,576.4285714285714,10.857142857142858,4035.0,76.0
PB,11-03-2021,234254,1483,4832,35,678.5714285714286,14.142857142857142,4750.0,99.0
PB,11-04-2020,85,6,11,0,618.2857142857143,12.714285714285714,4328.0,89.0
PB,11-04-2021,271325,394,6176,19,613.8571428571429,14.571428571428571,4297.0,102.0
PB,11-05-2020,2525,184,139,4,531.4285714285714,12.857142857142858,3720.0,90.0
PB,11-06-2020,25370,1338,570,11,647.8571428571429,12.142857142857142,4535.0,85.0
PB,11-07-2020,60421,1303,1250,21,672.5714285714286,12.857142857142858,4708.0,90.0
PB,11-08-2020,91819,1453,2046,23,880.1428571428571,16.142857142857142,6161.0,113.0
PB,11-09-2020,112018,523,2604,14,743.0,13.142857142857142,5201.0,92.0
PB,11-10-2020,125877,164,2922,8,765.5714285714286,14.285714285714286,5359.0,100.0
PB,11-11-2020,136637,608,3178,12,796.1428571428571,13.285714285714286,5573.0,93.0
PB,11-12-2020,152962,889,3420,13,896.8571428571429,14.571428571428571,6278.0,102.0
PB,12-01-2021,173518,219,3836,12,737.0,14.714285714285714,5159.0,103.0
PB,12-02-2021,203113,1137,4213,15,713.2857142857143,13.857142857142858,4993.0,97.0
PB,12-03-2020,0,0,0,0,505.7142857142857,10.571428571428571,3540.0,74.0
PB,12-03-2021,235619,1365,4865,33,626.0,13.285714285714286,4382.0,93.0
PB,12-04-2020,101,16,13,2,604.8571428571429,12.428571428571429,4234.0,87.0
PB,12-04-2021,272811,1486,6234,58,730.2857142857143,19.0,5112.0,133.0
PB,12-05-2020,2777,252,154,15,639.2857142857143,19.285714285714285,4475.0,135.0
PB,12-06-2020,26556,1186,610,40,777.4285714285714,23.285714285714285,5442.0,163.0
PB,12-07-2020,60784,363,1284,34,666.8571428571429,26.0,4668.0,182.0
PB,12-08-2020,92897,1078,2071,25,820.8571428571429,29.571428571428573,5746.0,207.0
PB,12-09-2020,112706,688,2616,12,724.1428571428571,26.571428571428573,5069.0,186.0
PB,12-10-2020,125933,56,2930,8,729.8571428571429,27.428571428571427,5109.0,192.0
PB,12-11-2020,137474,837,3187,9,637.1428571428571,20.428571428571427,4460.0,143.0
PB,12-12-2020,153556,594,3430,10,686.0,19.714285714285715,4802.0,138.0
PB,13-01-2021,174199,681,3844,8,613.8571428571429,15.142857142857142,4297.0,106.0
PB,13-02-2021,203943,830,4230,17,680.5714285714286,12.714285714285714,4764.0,89.0
PB,13-03-2020,0,0,0,0,526.5714285714286,9.142857142857142,3686.0,64.0
PB,13-03-2021,237313,1694,4896,31,670.2857142857143,11.857142857142858,4692.0,83.0
PB,13-04-2020,111,10,13,0,663.7142857142857,10.714285714285714,4646.0,75.0
PB,13-04-2021,274083,1272,6274,40,725.8571428571429,15.142857142857142,5081.0,106.0
PB,13-05-2020,3045,268,157,3,679.2857142857143,14.142857142857142,4755.0,99.0
PB,13-06-2020,27454,898,623,13,710.2857142857143,14.857142857142858,4972.0,104.0
PB,13-07-2020,61108,324,1302,18,638.0,15.0,4466.0,105.0
PB,13-08-2020,93794,897,2092,21,766.1428571428571,18.0,5363.0,126.0
PB,13-09-2020,112961,255,2627,11,560.5714285714286,15.142857142857142,3924.0,106.0
PB,13-10-2020,126073,140,2944,14,579.1428571428571,17.142857142857142,4054.0,120.0
PB,13-11-2020,137942,468,3193,6,464.2857142857143,12.285714285714286,3250.0,86.0
PB,13-12-2020,153649,93,3439,9,439.2857142857143,13.142857142857142,3075.0,92.0
PB,14-01-2021,175227,1028,3857,13,457.85714285714283,13.142857142857142,3205.0,92.0
PB,14-02-2021,204584,641,4242,12,503.14285714285717,12.285714285714286,3522.0,86.0
PB,14-03-2020,0,0,0,0,375.0,9.285714285714286,2625.0,65.0
PB,14-03-2021,238569,1256,4933,37,518.0,13.0,3626.0,91.0
PB,14-04-2020,136,25,16,3,501.57142857142856,11.428571428571429,3511.0,80.0
PB,14-04-2021,275301,1218,6316,42,608.7142857142857,16.571428571428573,4261.0,116.0
PB,14-05-2020,3361,316,160,3,640.5714285714286,15.714285714285714,4484.0,110.0
PB,14-06-2020,28013,559,633,10,573.5714285714286,15.285714285714286,4015.0,107.0
PB,14-07-2020,62462,1354,1342,40,675.4285714285714,19.285714285714285,4728.0,135.0
PB,14-08-2020,94660,866,2113,21,799.1428571428571,22.285714285714285,5594.0,156.0
PB,14-09-2020,113163,202,2639,12,648.5714285714286,18.714285714285715,4540.0,131.0
PB,14-10-2020,126791,718,2958,14,747.5714285714286,20.285714285714285,5233.0,142.0
PB,14-11-2020,138464,522,3199,6,648.1428571428571,15.142857142857142,4537.0,106.0
PB,14-12-2020,153917,268,3452,13,641.2857142857143,16.571428571428573,4489.0,116.0
PB,15-01-2021,175997,770,3869,12,671.4285714285714,16.857142857142858,4700.0,118.0
PB,15-02-2021,205579,995,4255,13,620.1428571428571,13.0,4341.0,91.0
PB,15-03-2020,0,0,0,0,496.42857142857144,10.0,3475.0,70.0
PB,15-03-2021,239594,1025,4992,59,614.0,16.714285714285715,4298.0,117.0
PB,15-04-2020,151,15,21,5,513.5714285714286,15.428571428571429,3595.0,108.0
PB,15-04-2021,276669,1368,6347,31,634.4285714285714,19.0,4441.0,133.0
PB,15-05-2020,3739,378,170,10,650.1428571428571,18.571428571428573,4551.0,130.0
PB,15-06-2020,28668,655,656,23,633.7142857142857,20.142857142857142,4436.0,141.0
PB,15-07-2020,63939,1477,1383,41,702.5714285714286,24.142857142857142,4918.0,169.0
PB,15-08-2020,95588,928,2138,25,835.1428571428571,27.714285714285715,5846.0,194.0
PB,15-09-2020,113903,740,2649,10,794.4285714285714,20.714285714285715,5561.0,145.0
PB,15-10-2020,127456,665,2970,12,887.2857142857143,21.714285714285715,6211.0,152.0
PB,15-11-2020,138546,82,3204,5,703.5714285714286,18.0,4925.0,126.0
PB,15-12-2020,154734,817,3469,17,766.2857142857143,19.0,5364.0,133.0
PB,16-01-2021,176835,838,3880,11,792.4285714285714,17.285714285714285,5547.0,121.0
PB,16-02-2021,206397,818,4272,17,698.2857142857143,13.857142857142858,4888.0,97.0
PB,16-03-2020,0,0,0,0,565.7142857142857,10.285714285714286,3960.0,72.0
PB,16-03-2021,240398,804,5036,44,574.8571428571429,15.142857142857142,4024.0,106.0
PB,16-04-2020,165,13,24,3,481.7142857142857,13.857142857142858,3372.0,97.0
PB,16-04-2021,277793,1124,6388,41,630.5714285714286,19.0,4414.0,133.0
PB,16-05-2020,4063,324,183,13,560.1428571428571,18.428571428571427,3921.0,129.0
PB,16-06-2020,30128,1460,671,15,649.0,19.0,4543.0,133.0
PB,16-07-2020,65423,1484,1418,35,744.1428571428571,21.571428571428573,5209.0,151.0
