,index,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily cases moving average,daily deaths moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
0,0,2020-02-25,0,0,0,0,,,,
1,1,2020-02-26,1,1,0,0,,,,
2,2,2020-02-27,1,0,0,0,,,,
3,3,2020-02-28,1,0,0,0,,,,
4,4,2020-02-29,2,1,0,0,,,,
5,5,2020-03-01,2,0,0,0,,,,
6,6,2020-03-02,2,0,0,0,0.2857142857142857,0.0,2.0,2.0
7,7,2020-03-03,2,0,0,0,0.2857142857142857,0.0,2.0,2.0
8,8,2020-03-04,3,1,0,0,0.2857142857142857,0.0,2.0,2.0
9,9,2020-03-05,7,4,0,0,0.8571428571428571,0.0,6.0,6.0
10,10,2020-03-06,13,6,0,0,1.7142857142857142,0.0,12.0,12.0
11,11,2020-03-07,19,6,0,0,2.4285714285714284,0.0,17.0,17.0
12,12,2020-03-08,25,6,0,0,3.2857142857142856,0.0,23.0,23.0
13,13,2020-03-09,25,0,0,0,3.2857142857142856,0.0,23.0,23.0
14,14,2020-03-10,34,9,0,0,4.571428571428571,0.0,32.0,32.0
15,15,2020-03-11,52,18,0,0,7.0,0.0,49.0,49.0
16,16,2020-03-12,77,25,0,0,10.0,0.0,70.0,70.0
17,17,2020-03-13,98,21,0,0,12.142857142857142,0.0,85.0,85.0
18,18,2020-03-14,121,23,0,0,14.571428571428571,0.0,102.0,102.0
19,19,2020-03-15,200,79,0,0,25.0,0.0,175.0,175.0
20,20,2020-03-16,234,34,0,0,29.857142857142858,0.0,209.0,209.0
21,21,2020-03-17,291,57,1,1,36.714285714285715,0.14285714285714285,257.0,257.0
22,22,2020-03-18,428,137,4,3,53.714285714285715,0.5714285714285714,376.0,376.0
23,23,2020-03-19,621,193,6,2,77.71428571428571,0.8571428571428571,544.0,544.0
24,24,2020-03-20,904,283,11,5,115.14285714285714,1.5714285714285714,806.0,806.0
25,25,2020-03-21,1128,224,18,7,143.85714285714286,2.5714285714285716,1007.0,1007.0
26,26,2020-03-22,1546,418,25,7,192.28571428571428,3.5714285714285716,1346.0,1346.0
27,27,2020-03-23,1891,345,34,9,236.71428571428572,4.857142857142857,1657.0,1657.0
28,28,2020-03-24,2201,310,46,12,272.85714285714283,6.428571428571429,1910.0,1910.0
29,29,2020-03-25,2433,232,57,11,286.42857142857144,7.571428571428571,2005.0,2005.0
30,30,2020-03-26,2915,482,77,20,327.7142857142857,10.142857142857142,2294.0,2294.0
31,31,2020-03-27,3417,502,92,15,359.0,11.571428571428571,2513.0,2513.0
32,32,2020-03-28,3903,486,114,22,396.42857142857144,13.714285714285714,2775.0,2775.0
33,33,2020-03-29,4256,353,136,22,387.14285714285717,15.857142857142858,2710.0,2710.0
34,34,2020-03-30,4579,323,159,23,384.0,17.857142857142858,2688.0,2688.0
35,35,2020-03-31,5717,1138,201,42,502.2857142857143,22.142857142857142,3516.0,3516.0
36,36,2020-04-01,6834,1117,241,40,628.7142857142857,26.285714285714285,4401.0,4401.0
37,37,2020-04-02,7910,1076,299,58,713.5714285714286,31.714285714285715,4995.0,4995.0
38,38,2020-04-03,9056,1146,359,60,805.5714285714286,38.142857142857146,5639.0,5639.0
39,39,2020-04-04,10278,1222,432,73,910.7142857142857,45.42857142857143,6375.0,6375.0
