city,date,cases,daily cases,deaths,daily deaths,daily cases moving average,daily deaths moving average
Igreja Nova,2020-03-27,0,0,0,0,,
Igreja Nova,2020-03-28,0,0,0,0,,
Igreja Nova,2020-03-29,0,0,0,0,,
Igreja Nova,2020-03-30,0,0,0,0,,
Igreja Nova,2020-03-31,0,0,0,0,,
Igreja Nova,2020-04-01,0,0,0,0,,
Igreja Nova,2020-04-02,0,0,0,0,,
Igreja Nova,2020-04-03,0,0,0,0,,
Igreja Nova,2020-04-04,0,0,0,0,,
Igreja Nova,2020-04-05,0,0,0,0,,
Igreja Nova,2020-04-06,0,0,0,0,,
Igreja Nova,2020-04-07,0,0,0,0,,
Igreja Nova,2020-04-08,0,0,0,0,,
Igreja Nova,2020-04-09,0,0,0,0,0.0,0.0
Igreja Nova,2020-04-10,0,0,0,0,0.0,0.0
Igreja Nova,2020-04-11,0,0,0,0,0.0,0.0
Igreja Nova,2020-04-12,0,0,0,0,0.0,0.0
Igreja Nova,2020-04-13,0,0,0,0,0.0,0.0
Igreja Nova,2020-04-14,0,0,0,0,0.0,0.0
Igreja Nova,2020-04-15,0,0,0,0,0.0,0.0
Igreja Nova,2020-04-16,0,0,0,0,0.0,0.0
Igreja Nova,2020-04-17,0,0,0,0,0.0,0.0
Igreja Nova,2020-04-18,0,0,0,0,0.0,0.0
Igreja Nova,2020-04-19,0,0,0,0,0.0,0.0
Igreja Nova,2020-04-20,0,0,0,0,0.0,0.0
Igreja Nova,2020-04-21,0,0,0,0,0.0,0.0
Igreja Nova,2020-04-22,0,0,0,0,0.0,0.0
Igreja Nova,2020-04-23,0,0,0,0,0.0,0.0
Igreja Nova,2020-04-24,0,0,0,0,0.0,0.0
Igreja Nova,2020-04-25,0,0,0,0,0.0,0.0
Igreja Nova,2020-04-26,0,0,0,0,0.0,0.0
Igreja Nova,2020-04-27,0,0,0,0,0.0,0.0
Igreja Nova,2020-04-28,0,0,0,0,0.0,0.0
Igreja Nova,2020-04-29,0,0,0,0,0.0,0.0
Igreja Nova,2020-04-30,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-01,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-02,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-03,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-04,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-05,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-06,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-07,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-08,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-09,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-10,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-11,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-12,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-13,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-14,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-15,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-16,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-17,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-18,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-19,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-20,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-21,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-22,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-23,1,1,0,0,0.07142857142857142,0.0
Igreja Nova,2020-05-24,0,-1,0,0,0.0,0.0
Igreja Nova,2020-05-25,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-26,0,0,0,0,0.0,0.0
Igreja Nova,2020-05-27,1,1,0,0,0.07142857142857142,0.0
Igreja Nova,2020-05-28,1,0,0,0,0.07142857142857142,0.0
Igreja Nova,2020-05-29,2,1,0,0,0.14285714285714285,0.0
Igreja Nova,2020-05-30,2,0,0,0,0.14285714285714285,0.0
Igreja Nova,2020-05-31,3,1,0,0,0.21428571428571427,0.0
Igreja Nova,2020-06-01,3,0,0,0,0.21428571428571427,0.0
Igreja Nova,2020-06-02,3,0,0,0,0.21428571428571427,0.0
Igreja Nova,2020-06-03,4,1,0,0,0.2857142857142857,0.0
Igreja Nova,2020-06-04,4,0,1,1,0.2857142857142857,0.07142857142857142
Igreja Nova,2020-06-05,6,2,1,0,0.42857142857142855,0.07142857142857142
Igreja Nova,2020-06-06,8,2,1,0,0.5,0.07142857142857142
Igreja Nova,2020-06-07,10,2,1,0,0.7142857142857143,0.07142857142857142
Igreja Nova,2020-06-08,10,0,1,0,0.7142857142857143,0.07142857142857142
Igreja Nova,2020-06-09,11,1,1,0,0.7857142857142857,0.07142857142857142
Igreja Nova,2020-06-10,13,2,1,0,0.8571428571428571,0.07142857142857142
Igreja Nova,2020-06-11,14,1,1,0,0.9285714285714286,0.07142857142857142
Igreja Nova,2020-06-12,17,3,1,0,1.0714285714285714,0.07142857142857142
Igreja Nova,2020-06-13,23,6,1,0,1.5,0.07142857142857142
Igreja Nova,2020-06-14,26,3,1,0,1.6428571428571428,0.07142857142857142
Igreja Nova,2020-06-15,25,-1,2,1,1.5714285714285714,0.14285714285714285
Igreja Nova,2020-06-16,26,1,2,0,1.6428571428571428,0.14285714285714285
Igreja Nova,2020-06-17,26,0,2,0,1.5714285714285714,0.14285714285714285
Igreja Nova,2020-06-18,38,12,2,0,2.4285714285714284,0.07142857142857142
Igreja Nova,2020-06-19,41,3,2,0,2.5,0.07142857142857142
