estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily cases moving average,daily deaths moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
RN,01/01/2021,236706,540,5986,0,1938.142857142857,113.0,13567.0,791.0
RN,01/02/2021,281408,242,6576,6,1526.857142857143,71.71428571428571,10688.0,502.0
RN,01/03/2020,0,0,0,0,1388.5714285714287,62.142857142857146,9720.0,435.0
RN,01/03/2021,334858,1068,7216,46,1276.4285714285713,50.285714285714285,8935.0,352.0
RN,01/04/2020,184,20,4,2,1232.2857142857142,45.142857142857146,8626.0,316.0
RN,01/04/2021,394152,1630,9096,82,1396.4285714285713,51.857142857142854,9775.0,363.0
RN,01/05/2020,2594,240,112,0,534.2857142857143,19.428571428571427,3740.0,136.0
RN,01/06/2020,15928,1124,646,36,617.7142857142857,24.571428571428573,4324.0,172.0
RN,01/07/2020,63798,3224,2134,66,1043.7142857142858,33.142857142857146,7306.0,232.0
RN,01/08/2020,103114,2282,3758,204,1369.7142857142858,62.285714285714285,9588.0,436.0
RN,01/09/2020,123982,486,4530,18,1286.5714285714287,58.285714285714285,9006.0,408.0
RN,01/10/2020,139430,564,4790,4,1364.2857142857142,58.57142857142857,9550.0,410.0
RN,01/11/2020,162624,272,5156,2,1170.2857142857142,47.142857142857146,8192.0,330.0
RN,01/12/2020,191320,1074,5390,14,1289.4285714285713,49.142857142857146,9026.0,344.0
RN,02/01/2021,237382,676,5990,4,1225.4285714285713,44.57142857142857,8578.0,312.0
RN,02/02/2021,282502,1094,6600,24,921.1428571428571,38.57142857142857,6448.0,270.0
RN,02/03/2020,0,0,0,0,595.1428571428571,9.428571428571429,4166.0,66.0
RN,02/03/2021,336342,1484,7272,56,737.7142857142857,14.857142857142858,5164.0,104.0
RN,02/04/2020,211,27,4,0,661.0,14.285714285714286,4627.0,100.0
RN,02/04/2021,395988,1836,9176,80,884.4285714285714,25.428571428571427,6191.0,178.0
RN,02/05/2020,2732,138,118,6,750.7142857142857,24.285714285714285,5255.0,170.0
RN,02/06/2020,16466,538,682,36,731.0,28.857142857142858,5117.0,202.0
RN,02/07/2020,65794,1996,2206,72,859.8571428571429,35.714285714285715,6019.0,250.0
RN,02/08/2020,103690,576,3766,8,942.1428571428571,36.857142857142854,6595.0,258.0
RN,02/09/2020,124864,882,4550,20,856.1428571428571,31.714285714285715,5993.0,222.0
RN,02/10/2020,140212,782,4796,6,964.0,32.57142857142857,6748.0,228.0
RN,02/11/2020,162982,358,5164,8,752.8571428571429,22.285714285714285,5270.0,156.0
RN,02/12/2020,193362,2042,5408,18,1024.857142857143,24.0,7174.0,168.0
RN,03/01/2021,238158,776,6000,10,1058.857142857143,20.285714285714285,7412.0,142.0
RN,03/02/2021,283326,824,6624,24,891.4285714285714,13.428571428571429,6240.0,94.0
RN,03/03/2020,0,0,0,0,809.1428571428571,12.285714285714286,5664.0,86.0
RN,03/03/2021,338838,2496,7300,28,1039.7142857142858,13.428571428571429,7278.0,94.0
RN,03/04/2020,352,141,8,4,948.1428571428571,13.142857142857142,6637.0,92.0
RN,03/04/2021,398140,2152,9232,56,1204.4285714285713,20.0,8431.0,140.0
RN,03/05/2020,2784,52,122,4,920.1428571428571,18.0,6441.0,126.0
RN,03/06/2020,18298,1832,734,52,1071.0,24.0,7497.0,168.0
RN,03/07/2020,66842,1048,2342,136,1103.0,40.0,7721.0,280.0
RN,03/08/2020,104060,370,3788,22,1155.857142857143,43.142857142857146,8091.0,302.0
RN,03/09/2020,125710,846,4556,6,920.1428571428571,40.0,6441.0,280.0
RN,03/10/2020,141106,894,4804,8,1027.7142857142858,40.57142857142857,7194.0,284.0
RN,03/11/2020,163114,132,5166,2,739.1428571428571,32.857142857142854,5174.0,230.0
RN,03/12/2020,193710,348,5422,14,781.4285714285714,34.285714285714285,5470.0,240.0
RN,04/01/2021,238372,214,6022,22,550.2857142857143,30.0,3852.0,210.0
RN,04/02/2021,284930,1604,6640,16,629.7142857142857,12.857142857142858,4408.0,90.0
RN,04/03/2020,0,0,0,0,576.8571428571429,9.714285714285714,4038.0,68.0
RN,04/03/2021,340578,1740,7350,50,704.5714285714286,16.0,4932.0,112.0
RN,04/04/2020,426,74,10,2,587.4285714285714,15.142857142857142,4112.0,106.0
RN,04/04/2021,399288,1148,9258,26,732.5714285714286,18.571428571428573,5128.0,130.0
RN,04/05/2020,2842,58,124,2,691.1428571428571,16.857142857142858,4838.0,118.0
RN,04/06/2020,18564,266,756,22,698.5714285714286,16.857142857142858,4890.0,118.0
RN,04/07/2020,68514,1672,2400,58,708.2857142857143,22.857142857142858,4958.0,160.0
RN,04/08/2020,105132,1072,3852,64,861.4285714285714,32.0,6030.0,224.0
