estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving average,daily_deaths_moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
SP,2020-02-25,0,0,0,0,939.7142857142857,23.857142857142858,6578.0,167.0
SP,2020-02-26,0,0,0,0,760.1428571428571,19.857142857142858,5321.0,139.0
SP,2020-02-27,0,0,0,0,603.2857142857143,16.0,4223.0,112.0
SP,2020-02-28,0,0,0,0,449.7142857142857,12.0,3148.0,84.0
SP,2020-02-29,1,0,0,0,325.14285714285717,8.142857142857142,2276.0,57.0
SP,2020-03-01,1,0,0,0,147.28571428571428,4.142857142857143,1031.0,29.0
SP,2020-03-02,1,0,0,0,0.0,0.0,0.0,0.0
SP,2020-03-03,1,0,0,0,0.0,0.0,0.0,0.0
SP,2020-03-04,1,0,0,0,0.0,0.0,0.0,0.0
SP,2020-03-05,3,1,0,0,0.14285714285714285,0.0,1.0,0.0
SP,2020-03-06,5,2,0,0,0.42857142857142855,0.0,3.0,0.0
SP,2020-03-07,6,1,0,0,0.5714285714285714,0.0,4.0,0.0
SP,2020-03-08,8,1,0,0,0.7142857142857143,0.0,5.0,0.0
SP,2020-03-09,8,0,0,0,0.7142857142857143,0.0,5.0,0.0
SP,2020-03-10,9,1,0,0,0.8571428571428571,0.0,6.0,0.0
SP,2020-03-11,15,5,0,0,1.5714285714285714,0.0,11.0,0.0
SP,2020-03-12,21,6,0,0,2.2857142857142856,0.0,16.0,0.0
SP,2020-03-13,28,7,0,0,3.0,0.0,21.0,0.0
SP,2020-03-14,32,4,0,0,3.4285714285714284,0.0,24.0,0.0
SP,2020-03-15,68,35,0,0,8.285714285714286,0.0,58.0,0.0
SP,2020-03-16,76,8,0,0,9.428571428571429,0.0,66.0,0.0
SP,2020-03-17,82,6,0,0,10.142857142857142,0.0,71.0,0.0
SP,2020-03-18,120,38,2,1,14.857142857142858,0.14285714285714285,104.0,1.0
SP,2020-03-19,143,23,2,0,17.285714285714285,0.14285714285714285,121.0,1.0
SP,2020-03-20,198,55,4,2,24.142857142857142,0.42857142857142855,169.0,3.0
SP,2020-03-21,229,31,7,3,28.0,0.8571428571428571,196.0,6.0
SP,2020-03-22,315,86,11,3,35.285714285714285,1.2857142857142858,247.0,9.0
SP,2020-03-23,372,57,15,4,42.285714285714285,1.8571428571428572,296.0,13.0
SP,2020-03-24,405,32,20,5,46.0,2.5714285714285716,322.0,18.0
SP,2020-03-25,431,26,24,4,44.285714285714285,3.0,310.0,21.0
SP,2020-03-26,526,95,29,5,54.57142857142857,3.7142857142857144,382.0,26.0
SP,2020-03-27,611,85,34,5,58.857142857142854,4.142857142857143,412.0,29.0
SP,2020-03-28,1406,794,84,50,167.85714285714286,10.857142857142858,1175.0,76.0
SP,2020-03-29,1451,45,98,14,162.0,12.428571428571429,1134.0,87.0
SP,2020-03-30,1517,66,113,15,163.28571428571428,14.0,1143.0,98.0
SP,2020-03-31,2339,822,136,23,276.14285714285717,16.571428571428573,1933.0,116.0
SP,2020-04-01,2981,642,164,28,364.14285714285717,20.0,2549.0,140.0
SP,2020-04-02,3506,525,188,24,425.57142857142856,22.714285714285715,2979.0,159.0
SP,2020-04-03,4048,542,219,31,490.85714285714283,26.428571428571427,3436.0,185.0
SP,2020-04-04,4466,418,260,41,437.14285714285717,25.142857142857142,3060.0,176.0
SP,2020-04-05,4620,154,275,15,452.7142857142857,25.285714285714285,3169.0,177.0
SP,2020-04-06,4866,246,304,29,478.42857142857144,27.285714285714285,3349.0,191.0
SP,2020-04-07,5682,816,371,67,477.57142857142856,33.57142857142857,3343.0,235.0
SP,2020-04-08,6708,1026,428,57,532.4285714285714,37.714285714285715,3727.0,264.0
SP,2020-04-09,7480,772,496,68,567.7142857142857,44.0,3974.0,308.0
SP,2020-04-10,8216,736,540,44,595.4285714285714,45.857142857142854,4168.0,321.0
SP,2020-04-11,8419,203,560,20,564.7142857142857,42.857142857142854,3953.0,300.0
SP,2020-04-12,8755,336,588,28,590.7142857142857,44.714285714285715,4135.0,313.0
SP,2020-04-13,8895,140,608,20,575.5714285714286,43.42857142857143,4029.0,304.0
SP,2020-04-14,9371,476,695,87,527.0,46.285714285714285,3689.0,324.0
SP,2020-04-15,11043,1672,778,83,619.2857142857143,50.0,4335.0,350.0
SP,2020-04-16,11568,525,853,75,584.0,51.0,4088.0,357.0
SP,2020-04-17,12841,1273,928,75,660.7142857142857,55.42857142857143,4625.0,388.0
SP,2020-04-18,13894,1053,991,63,782.1428571428571,61.57142857142857,5475.0,431.0
SP,2020-04-19,14267,373,1015,24,787.4285714285714,61.0,5512.0,427.0
SP,2020-04-20,14580,313,1037,22,812.1428571428571,61.285714285714285,5685.0,429.0
SP,2020-04-21,15385,805,1093,56,859.1428571428571,56.857142857142854,6014.0,398.0
SP,2020-04-22,15914,529,1134,41,695.8571428571429,50.857142857142854,4871.0,356.0
SP,2020-04-23,16740,826,1345,211,738.8571428571429,70.28571428571429,5172.0,492.0
SP,2020-04-24,17826,1086,1512,167,712.1428571428571,83.42857142857143,4985.0,584.0
SP,2020-04-25,20004,2178,1667,155,872.8571428571429,96.57142857142857,6110.0,676.0
SP,2020-04-26,20715,711,1700,33,921.1428571428571,97.85714285714286,6448.0,685.0
SP,2020-04-27,21696,981,1825,125,1016.5714285714286,112.57142857142857,7116.0,788.0
SP,2020-04-28,24041,2345,2049,224,1236.5714285714287,136.57142857142858,8656.0,956.0
SP,2020-04-29,26158,2117,2247,198,1463.4285714285713,159.0,10244.0,1113.0
SP,2020-04-30,28698,2540,2375,128,1708.2857142857142,147.14285714285714,11958.0,1030.0
SP,2020-05-01,30374,1676,2511,136,1792.5714285714287,142.71428571428572,12548.0,999.0
