estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily cases moving average,daily deaths moving average,sum_of_daily_cases_week,sum_of_daily_deaths_week
GO,25-02-2020,0,0,0,0,1938.7142857142858,40.07142857142857,12204.0,297.0
GO,26-02-2020,0,0,0,0,1788.0714285714287,37.642857142857146,10012.0,233.0
GO,27-02-2020,0,0,0,0,1622.5,35.57142857142857,7487.0,180.0
GO,28-02-2020,0,0,0,0,1473.7142857142858,32.785714285714285,5779.0,127.0
GO,29-02-2020,0,0,0,0,1302.5714285714287,31.142857142857142,3285.0,93.0
GO,01-03-2020,0,0,0,0,1194.0714285714287,29.642857142857142,1710.0,63.0
GO,02-03-2020,0,0,0,0,1033.357142857143,25.714285714285715,0.0,0.0
GO,03-03-2020,0,0,0,0,871.7142857142857,21.214285714285715,0.0,0.0
GO,04-03-2020,0,0,0,0,715.1428571428571,16.642857142857142,0.0,0.0
GO,05-03-2020,0,0,0,0,534.7857142857143,12.857142857142858,0.0,0.0
GO,06-03-2020,0,0,0,0,412.7857142857143,9.071428571428571,0.0,0.0
GO,07-03-2020,0,0,0,0,234.64285714285714,6.642857142857143,0.0,0.0
GO,08-03-2020,0,0,0,0,122.14285714285714,4.5,0.0,0.0
GO,09-03-2020,0,0,0,0,0.0,0.0,0.0,0.0
GO,10-03-2020,0,0,0,0,0.0,0.0,0.0,0.0
GO,11-03-2020,0,0,0,0,0.0,0.0,0.0,0.0
GO,12-03-2020,0,0,0,0,0.0,0.0,0.0,0.0
GO,13-03-2020,1,1,0,0,0.07142857142857142,0.0,1.0,0.0
GO,14-03-2020,1,0,0,0,0.07142857142857142,0.0,1.0,0.0
GO,15-03-2020,1,0,0,0,0.07142857142857142,0.0,1.0,0.0
GO,16-03-2020,1,0,0,0,0.07142857142857142,0.0,1.0,0.0
GO,17-03-2020,3,1,0,0,0.14285714285714285,0.0,2.0,0.0
GO,18-03-2020,4,1,0,0,0.21428571428571427,0.0,3.0,0.0
GO,19-03-2020,6,2,0,0,0.35714285714285715,0.0,5.0,0.0
GO,20-03-2020,7,1,0,0,0.42857142857142855,0.0,5.0,0.0
GO,21-03-2020,10,2,0,0,0.5714285714285714,0.0,7.0,0.0
GO,22-03-2020,10,0,0,0,0.5714285714285714,0.0,7.0,0.0
GO,23-03-2020,11,1,0,0,0.6428571428571429,0.0,8.0,0.0
GO,24-03-2020,13,2,0,0,0.7857142857142857,0.0,9.0,0.0
GO,25-03-2020,14,1,0,0,0.8571428571428571,0.0,9.0,0.0
GO,26-03-2020,19,5,0,0,1.2142857142857142,0.0,12.0,0.0
GO,27-03-2020,24,5,0,0,1.5,0.0,16.0,0.0
GO,28-03-2020,56,31,1,0,3.7142857142857144,0.0,45.0,0.0
GO,29-03-2020,58,2,1,0,3.857142857142857,0.0,47.0,0.0
GO,30-03-2020,61,3,1,0,4.071428571428571,0.0,49.0,0.0
GO,31-03-2020,65,4,1,0,4.285714285714286,0.0,51.0,0.0
GO,01-04-2020,72,7,1,0,4.714285714285714,0.0,57.0,0.0
GO,02-04-2020,73,1,1,0,4.642857142857143,0.0,53.0,0.0
GO,03-04-2020,88,15,2,1,5.642857142857143,0.07142857142857142,63.0,1.0
GO,04-04-2020,103,15,2,0,6.571428571428571,0.07142857142857142,47.0,1.0
GO,05-04-2020,115,12,3,1,7.428571428571429,0.14285714285714285,57.0,2.0
GO,06-04-2020,119,4,5,2,7.642857142857143,0.2857142857142857,58.0,4.0
GO,07-04-2020,133,14,5,0,8.5,0.2857142857142857,68.0,4.0
GO,08-04-2020,158,25,7,2,10.214285714285714,0.42857142857142855,86.0,6.0
GO,09-04-2020,179,20,7,0,11.285714285714286,0.42857142857142855,105.0,6.0
GO,10-04-2020,191,12,8,1,11.785714285714286,0.5,102.0,6.0
GO,11-04-2020,209,18,10,2,10.857142857142858,0.6428571428571429,105.0,8.0
GO,12-04-2020,229,20,14,4,12.142857142857142,0.9285714285714286,113.0,11.0
GO,13-04-2020,233,4,15,1,12.214285714285714,1.0,113.0,10.0
GO,14-04-2020,284,51,15,0,15.571428571428571,1.0,150.0,10.0
GO,15-04-2020,304,20,15,0,16.5,1.0,145.0,8.0
GO,16-04-2020,318,14,16,1,17.428571428571427,1.0714285714285714,139.0,9.0
GO,17-04-2020,335,17,16,0,17.571428571428573,1.0,144.0,8.0
GO,18-04-2020,378,43,18,2,19.571428571428573,1.1428571428571428,169.0,8.0
GO,19-04-2020,393,15,18,0,19.785714285714285,1.0714285714285714,164.0,4.0
GO,20-04-2020,403,10,19,1,20.214285714285715,1.0,170.0,4.0
GO,21-04-2020,421,18,19,0,20.5,1.0,137.0,4.0
GO,22-04-2020,438,17,21,2,19.928571428571427,1.0,134.0,6.0
GO,23-04-2020,453,15,23,2,19.571428571428573,1.1428571428571428,135.0,7.0
GO,24-04-2020,486,33,24,1,21.071428571428573,1.1428571428571428,151.0,8.0
GO,25-04-2020,506,20,25,1,21.214285714285715,1.0714285714285714,128.0,7.0
GO,26-04-2020,573,67,25,0,24.571428571428573,0.7857142857142857,180.0,7.0
GO,27-04-2020,616,43,26,1,27.357142857142858,0.7857142857142857,213.0,7.0
GO,28-04-2020,661,45,27,1,26.928571428571427,0.8571428571428571,240.0,8.0
GO,29-04-2020,705,44,27,0,28.642857142857142,0.8571428571428571,267.0,6.0
GO,30-04-2020,781,76,29,2,33.07142857142857,0.9285714285714286,328.0,6.0
GO,01-05-2020,808,27,29,0,33.785714285714285,0.9285714285714286,322.0,5.0
GO,02-05-2020,825,17,30,1,31.928571428571427,0.8571428571428571,319.0,5.0
GO,03-05-2020,850,25,30,0,32.642857142857146,0.8571428571428571,277.0,5.0
GO,04-05-2020,861,11,30,0,32.714285714285715,0.7857142857142857,245.0,4.0
GO,05-05-2020,922,61,38,8,35.785714285714285,1.3571428571428572,261.0,11.0
GO,06-05-2020,1024,102,44,6,41.857142857142854,1.6428571428571428,319.0,17.0
GO,07-05-2020,1027,3,44,0,41.0,1.5,246.0,15.0
GO,08-05-2020,1053,26,48,4,40.5,1.7142857142857142,245.0,19.0
GO,09-05-2020,1069,16,47,-1,40.214285714285715,1.5714285714285714,244.0,17.0
GO,10-05-2020,1093,24,47,0,37.142857142857146,1.5714285714285714,243.0,17.0
GO,11-05-2020,1100,7,49,2,34.57142857142857,1.6428571428571428,239.0,19.0
