index,estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
9546,Rondônia,2020-03-22,1.5,1,0,0,0.14285714285714285,0.0,1.0,0.0
9547,Rondônia,2020-03-23,1.5,0,0,0,0.14285714285714285,0.0,1.0,0.0
9548,Rondônia,2020-03-24,1.5,0,0,0,0.14285714285714285,0.0,1.0,0.0
9549,Rondônia,2020-03-25,2.5,1,0,0,0.2857142857142857,0.0,2.0,0.0
9550,Rondônia,2020-03-26,2.5,0,0,0,0.2857142857142857,0.0,2.0,0.0
9551,Rondônia,2020-03-27,3.0,0,0,0,0.2857142857142857,0.0,2.0,0.0
9552,Rondônia,2020-03-28,6.0,3,0,0,0.7142857142857143,0.0,5.0,0.0
9553,Rondônia,2020-03-29,6.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
9554,Rondônia,2020-03-30,6.0,0,0,0,0.5714285714285714,0.0,4.0,0.0
9555,Rondônia,2020-03-31,8.0,2,1,1,0.8571428571428571,0.14285714285714285,6.0,1.0
9556,Rondônia,2020-04-01,9.0,1,1,0,0.8571428571428571,0.14285714285714285,6.0,1.0
9557,Rondônia,2020-04-02,10.0,1,1,0,1.0,0.14285714285714285,7.0,1.0
9558,Rondônia,2020-04-03,10.0,0,1,0,1.0,0.14285714285714285,7.0,1.0
9559,Rondônia,2020-04-04,11.0,1,1,0,0.7142857142857143,0.14285714285714285,5.0,1.0
9560,Rondônia,2020-04-05,12.0,1,1,0,0.8571428571428571,0.14285714285714285,6.0,1.0
9561,Rondônia,2020-04-06,14.0,2,1,0,1.1428571428571428,0.14285714285714285,8.0,1.0
9562,Rondônia,2020-04-07,18.0,4,1,0,1.4285714285714286,0.0,10.0,0.0
9563,Rondônia,2020-04-08,22.0,4,1,0,1.8571428571428572,0.0,13.0,0.0
9564,Rondônia,2020-04-09,28.0,6,2,1,2.5714285714285716,0.14285714285714285,18.0,1.0
9565,Rondônia,2020-04-10,32.0,4,2,0,3.142857142857143,0.14285714285714285,22.0,1.0
9566,Rondônia,2020-04-11,33.0,1,2,0,3.142857142857143,0.14285714285714285,22.0,1.0
9567,Rondônia,2020-04-12,35.0,2,2,0,3.2857142857142856,0.14285714285714285,23.0,1.0
9568,Rondônia,2020-04-13,42.0,7,2,0,4.0,0.14285714285714285,28.0,1.0
9569,Rondônia,2020-04-14,64.0,22,2,0,6.571428571428571,0.14285714285714285,46.0,1.0
9570,Rondônia,2020-04-15,69.0,5,2,0,6.714285714285714,0.14285714285714285,47.0,1.0
9571,Rondônia,2020-04-16,76.0,7,3,1,6.857142857142857,0.14285714285714285,48.0,1.0
9572,Rondônia,2020-04-17,92.0,16,3,0,8.571428571428571,0.14285714285714285,60.0,1.0
9573,Rondônia,2020-04-18,110.0,18,3,0,11.0,0.14285714285714285,77.0,1.0
9574,Rondônia,2020-04-19,128.0,18,4,1,13.285714285714286,0.2857142857142857,93.0,2.0
9575,Rondônia,2020-04-20,160.0,32,4,0,16.857142857142858,0.2857142857142857,118.0,2.0
9576,Rondônia,2020-04-21,199.0,39,4,0,19.285714285714285,0.2857142857142857,135.0,2.0
9577,Rondônia,2020-04-22,223.0,24,5,1,22.0,0.42857142857142855,154.0,3.0
9578,Rondônia,2020-04-23,250.0,27,5,0,24.857142857142858,0.2857142857142857,174.0,2.0
9579,Rondônia,2020-04-24,290.0,40,5,0,28.285714285714285,0.2857142857142857,198.0,2.0
9580,Rondônia,2020-04-25,328.0,38,7,2,31.142857142857142,0.5714285714285714,218.0,4.0
9581,Rondônia,2020-04-26,364.0,36,10,3,33.714285714285715,0.8571428571428571,236.0,6.0
9582,Rondônia,2020-04-27,393.0,29,10,0,33.285714285714285,0.8571428571428571,233.0,6.0
9583,Rondônia,2020-04-28,413.0,20,11,1,30.571428571428573,1.0,214.0,7.0
9584,Rondônia,2020-04-29,433.0,20,15,4,30.0,1.4285714285714286,210.0,10.0
9585,Rondônia,2020-04-30,502.0,69,16,1,36.0,1.5714285714285714,252.0,11.0
9586,Rondônia,2020-05-01,585.0,83,18,2,42.142857142857146,1.8571428571428572,295.0,13.0
9587,Rondônia,2020-05-02,653.0,68,23,5,46.42857142857143,2.2857142857142856,325.0,16.0
9588,Rondônia,2020-05-03,705.0,52,24,1,48.714285714285715,2.0,341.0,14.0
9589,Rondônia,2020-05-04,756.0,51,25,1,51.857142857142854,2.142857142857143,363.0,15.0
9590,Rondônia,2020-05-05,861.0,105,29,4,64.0,2.5714285714285716,448.0,18.0
9591,Rondônia,2020-05-06,943.0,82,33,4,72.85714285714286,2.5714285714285716,510.0,18.0
9592,Rondônia,2020-05-07,1098.0,155,37,4,85.14285714285714,3.0,596.0,21.0
9593,Rondônia,2020-05-08,1222.0,124,39,2,91.0,3.0,637.0,21.0
9594,Rondônia,2020-05-09,1263.0,41,41,2,87.14285714285714,2.5714285714285716,610.0,18.0
9595,Rondônia,2020-05-10,1302.0,39,43,2,85.28571428571429,2.7142857142857144,597.0,19.0
9596,Rondônia,2020-05-11,1396.0,94,47,4,91.42857142857143,3.142857142857143,640.0,22.0
9597,Rondônia,2020-05-12,1460.0,64,50,3,85.57142857142857,3.0,599.0,21.0
9598,Rondônia,2020-05-13,1612.0,152,50,0,95.57142857142857,2.4285714285714284,669.0,17.0
9599,Rondônia,2020-05-14,1686.0,74,56,6,84.0,2.7142857142857144,588.0,19.0
9600,Rondônia,2020-05-15,1789.0,103,62,6,81.0,3.2857142857142856,567.0,23.0
9601,Rondônia,2020-05-16,1919.0,130,69,7,93.71428571428571,4.0,656.0,28.0
9602,Rondônia,2020-05-17,1963.0,44,74,5,94.42857142857143,4.428571428571429,661.0,31.0
9603,Rondônia,2020-05-18,2043.0,80,77,3,92.42857142857143,4.285714285714286,647.0,30.0
9604,Rondônia,2020-05-19,2257.0,214,87,10,113.85714285714286,5.285714285714286,797.0,37.0
9605,Rondônia,2020-05-20,2499.0,242,90,3,126.71428571428571,5.714285714285714,887.0,40.0
9606,Rondônia,2020-05-21,2659.0,160,101,11,139.0,6.428571428571429,973.0,45.0
9607,Rondônia,2020-05-22,2774.0,115,106,5,140.71428571428572,6.285714285714286,985.0,44.0
9608,Rondônia,2020-05-23,3109.0,335,115,9,170.0,6.571428571428571,1190.0,46.0
9609,Rondônia,2020-05-24,3201.0,92,120,5,176.85714285714286,6.571428571428571,1238.0,46.0
9610,Rondônia,2020-05-25,3268.0,67,121,0,175.0,6.142857142857143,1225.0,43.0
9611,Rondônia,2020-05-26,3493.0,225,133,12,176.57142857142858,6.428571428571429,1236.0,45.0
9612,Rondônia,2020-05-27,3862.0,369,137,4,194.71428571428572,6.571428571428571,1363.0,46.0
9613,Rondônia,2020-05-28,4252.0,390,142,5,227.57142857142858,5.714285714285714,1593.0,40.0
9614,Rondônia,2020-05-29,4502.0,250,145,3,246.85714285714286,5.428571428571429,1728.0,38.0
9615,Rondônia,2020-05-30,4743.0,241,151,6,233.42857142857142,5.0,1634.0,35.0
9616,Rondônia,2020-05-31,4942.0,199,156,5,248.71428571428572,5.0,1741.0,35.0
9617,Rondônia,2020-06-01,5172.0,230,159,3,272.0,5.428571428571429,1904.0,38.0
9618,Rondônia,2020-06-02,5477.0,305,172,13,283.42857142857144,5.571428571428571,1984.0,39.0
9619,Rondônia,2020-06-03,5713.0,236,180,8,264.42857142857144,6.142857142857143,1851.0,43.0
9620,Rondônia,2020-06-04,6459.0,746,194,14,315.2857142857143,7.428571428571429,2207.0,52.0
9621,Rondônia,2020-06-05,6862.0,403,213,19,337.14285714285717,9.714285714285714,2360.0,68.0
9622,Rondônia,2020-06-06,7700.0,838,228,15,422.42857142857144,11.0,2957.0,77.0
