city,city,date,cases,daily cases,deaths,daily deaths,daily cases moving average,daily deaths moving average
Carapicuíba,Carapicuíba,2020-03-27,0,0,0,0,,
Carapicuíba,Carapicuíba,2020-03-28,2,2,0,0,,
Carapicuíba,Carapicuíba,2020-03-29,2,0,0,0,,
Carapicuíba,Carapicuíba,2020-03-30,3,1,0,0,,
Carapicuíba,Carapicuíba,2020-03-31,6,3,0,0,,
Carapicuíba,Carapicuíba,2020-04-01,7,1,0,0,,
Carapicuíba,Carapicuíba,2020-04-02,11,4,1,1,,
Carapicuíba,Carapicuíba,2020-04-03,11,0,1,0,,
Carapicuíba,Carapicuíba,2020-04-04,11,0,1,0,,
Carapicuíba,Carapicuíba,2020-04-05,14,3,1,0,,
Carapicuíba,Carapicuíba,2020-04-06,16,2,1,0,,
Carapicuíba,Carapicuíba,2020-04-07,19,3,1,0,,
Carapicuíba,Carapicuíba,2020-04-08,20,1,2,1,,
Carapicuíba,Carapicuíba,2020-04-09,25,5,2,0,1.7857142857142858,0.14285714285714285
Carapicuíba,Carapicuíba,2020-04-10,29,4,2,0,2.0714285714285716,0.14285714285714285
Carapicuíba,Carapicuíba,2020-04-11,31,2,2,0,2.0714285714285716,0.14285714285714285
Carapicuíba,Carapicuíba,2020-04-12,33,2,2,0,2.2142857142857144,0.14285714285714285
Carapicuíba,Carapicuíba,2020-04-13,33,0,2,0,2.142857142857143,0.14285714285714285
Carapicuíba,Carapicuíba,2020-04-14,36,3,2,0,2.142857142857143,0.14285714285714285
Carapicuíba,Carapicuíba,2020-04-15,43,7,2,0,2.5714285714285716,0.14285714285714285
Carapicuíba,Carapicuíba,2020-04-16,52,9,2,0,2.9285714285714284,0.07142857142857142
Carapicuíba,Carapicuíba,2020-04-17,59,7,2,0,3.4285714285714284,0.07142857142857142
Carapicuíba,Carapicuíba,2020-04-18,71,12,3,1,4.285714285714286,0.14285714285714285
Carapicuíba,Carapicuíba,2020-04-19,74,3,3,0,4.285714285714286,0.14285714285714285
Carapicuíba,Carapicuíba,2020-04-20,78,4,3,0,4.428571428571429,0.14285714285714285
Carapicuíba,Carapicuíba,2020-04-21,101,23,3,0,5.857142857142857,0.14285714285714285
Carapicuíba,Carapicuíba,2020-04-22,104,3,3,0,6.0,0.07142857142857142
Carapicuíba,Carapicuíba,2020-04-23,111,7,6,3,6.142857142857143,0.2857142857142857
Carapicuíba,Carapicuíba,2020-04-24,126,15,6,0,6.928571428571429,0.2857142857142857
Carapicuíba,Carapicuíba,2020-04-25,149,23,7,1,8.428571428571429,0.35714285714285715
Carapicuíba,Carapicuíba,2020-04-26,154,5,8,1,8.642857142857142,0.42857142857142855
Carapicuíba,Carapicuíba,2020-04-27,173,19,8,0,10.0,0.42857142857142855
Carapicuíba,Carapicuíba,2020-04-28,187,14,8,0,10.785714285714286,0.42857142857142855
Carapicuíba,Carapicuíba,2020-04-29,205,18,9,1,11.571428571428571,0.5
Carapicuíba,Carapicuíba,2020-04-30,230,25,11,2,12.714285714285714,0.6428571428571429
Carapicuíba,Carapicuíba,2020-05-01,240,10,11,0,12.928571428571429,0.6428571428571429
Carapicuíba,Carapicuíba,2020-05-02,252,12,12,1,12.928571428571429,0.6428571428571429
Carapicuíba,Carapicuíba,2020-05-03,267,15,12,0,13.785714285714286,0.6428571428571429
Carapicuíba,Carapicuíba,2020-05-04,271,4,12,0,13.785714285714286,0.6428571428571429
Carapicuíba,Carapicuíba,2020-05-05,300,29,13,1,14.214285714285714,0.7142857142857143
Carapicuíba,Carapicuíba,2020-05-06,317,17,15,2,15.214285714285714,0.8571428571428571
Carapicuíba,Carapicuíba,2020-05-07,342,25,17,2,16.5,0.7857142857142857
Carapicuíba,Carapicuíba,2020-05-08,362,20,19,2,16.857142857142858,0.9285714285714286
