index,estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
7230,Pernambuco,2020-02-25,0.0,0,0,0,2073.5714285714284,31.857142857142858,14515.0,223.0
7231,Pernambuco,2020-02-26,0.0,0,0,0,1736.7142857142858,26.285714285714285,12157.0,184.0
7232,Pernambuco,2020-02-27,0.0,0,0,0,1404.142857142857,20.571428571428573,9829.0,144.0
7233,Pernambuco,2020-02-28,0.0,0,0,0,1053.142857142857,16.0,7372.0,112.0
7234,Pernambuco,2020-02-29,0.0,0,0,0,688.1428571428571,9.285714285714286,4817.0,65.0
7235,Pernambuco,2020-03-01,0.0,0,0,0,311.14285714285717,4.714285714285714,2178.0,33.0
7236,Pernambuco,2020-03-02,0.0,0,0,0,0.0,0.0,0.0,0.0
7237,Pernambuco,2020-03-03,0.0,0,0,0,0.0,0.0,0.0,0.0
7238,Pernambuco,2020-03-04,0.0,0,0,0,0.0,0.0,0.0,0.0
7239,Pernambuco,2020-03-05,0.0,0,0,0,0.0,0.0,0.0,0.0
7240,Pernambuco,2020-03-06,0.0,0,0,0,0.0,0.0,0.0,0.0
7241,Pernambuco,2020-03-07,0.0,0,0,0,0.0,0.0,0.0,0.0
7242,Pernambuco,2020-03-08,0.0,0,0,0,0.0,0.0,0.0,0.0
7243,Pernambuco,2020-03-09,0.0,0,0,0,0.0,0.0,0.0,0.0
7244,Pernambuco,2020-03-10,0.0,0,0,0,0.0,0.0,0.0,0.0
7245,Pernambuco,2020-03-11,0.0,0,0,0,0.0,0.0,0.0,0.0
7246,Pernambuco,2020-03-12,1.0,1,0,0,0.14285714285714285,0.0,1.0,0.0
7247,Pernambuco,2020-03-13,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
7248,Pernambuco,2020-03-14,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
7249,Pernambuco,2020-03-15,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
7250,Pernambuco,2020-03-16,1.0,0,0,0,0.14285714285714285,0.0,1.0,0.0
7251,Pernambuco,2020-03-17,8.0,7,0,0,1.1428571428571428,0.0,8.0,0.0
7252,Pernambuco,2020-03-18,8.0,0,0,0,1.1428571428571428,0.0,8.0,0.0
7253,Pernambuco,2020-03-19,14.0,6,0,0,1.8571428571428572,0.0,13.0,0.0
7254,Pernambuco,2020-03-20,15.0,1,0,0,2.0,0.0,14.0,0.0
7255,Pernambuco,2020-03-21,15.0,0,0,0,2.0,0.0,14.0,0.0
7256,Pernambuco,2020-03-22,18.5,3,0,0,2.4285714285714284,0.0,17.0,0.0
7257,Pernambuco,2020-03-23,21.0,2,0,0,2.7142857142857144,0.0,19.0,0.0
7258,Pernambuco,2020-03-24,21.0,0,0,0,1.7142857142857142,0.0,12.0,0.0
7259,Pernambuco,2020-03-25,23.0,2,0,0,2.0,0.0,14.0,0.0
7260,Pernambuco,2020-03-26,24.0,1,1,1,1.2857142857142858,0.14285714285714285,9.0,1.0
7261,Pernambuco,2020-03-27,28.0,4,2,0,1.7142857142857142,0.14285714285714285,12.0,1.0
7262,Pernambuco,2020-03-28,68.0,40,5,3,7.428571428571429,0.5714285714285714,52.0,4.0
7263,Pernambuco,2020-03-29,73.0,5,5,0,7.714285714285714,0.5714285714285714,54.0,4.0
7264,Pernambuco,2020-03-30,78.0,5,6,1,8.142857142857142,0.7142857142857143,57.0,5.0
7265,Pernambuco,2020-03-31,87.0,9,6,0,9.428571428571429,0.7142857142857143,66.0,5.0
7266,Pernambuco,2020-04-01,95.0,8,8,2,10.285714285714286,1.0,72.0,7.0
7267,Pernambuco,2020-04-02,106.0,11,9,1,11.714285714285714,1.0,82.0,7.0
7268,Pernambuco,2020-04-03,136.0,30,10,1,15.428571428571429,1.1428571428571428,108.0,8.0
7269,Pernambuco,2020-04-04,176.0,40,14,4,15.428571428571429,1.2857142857142858,108.0,9.0
7270,Pernambuco,2020-04-05,201.0,25,21,7,18.285714285714285,2.2857142857142856,128.0,16.0
7271,Pernambuco,2020-04-06,223.0,22,30,9,20.714285714285715,3.4285714285714284,145.0,24.0
7272,Pernambuco,2020-04-07,352.0,129,34,4,37.857142857142854,4.0,265.0,28.0
7273,Pernambuco,2020-04-08,401.0,49,46,12,43.714285714285715,5.428571428571429,306.0,38.0
7274,Pernambuco,2020-04-09,555.0,154,56,10,64.14285714285714,6.714285714285714,449.0,47.0
7275,Pernambuco,2020-04-10,684.0,129,65,9,78.28571428571429,7.857142857142857,548.0,55.0
7276,Pernambuco,2020-04-11,816.0,132,72,7,91.42857142857143,8.285714285714286,640.0,58.0
7277,Pernambuco,2020-04-12,960.0,144,85,13,108.42857142857143,9.142857142857142,759.0,64.0
7278,Pernambuco,2020-04-13,1154.0,194,102,17,133.0,10.285714285714286,931.0,72.0
7279,Pernambuco,2020-04-14,1284.0,130,115,13,133.14285714285714,11.571428571428571,932.0,81.0
7280,Pernambuco,2020-04-15,1484.0,200,143,28,154.71428571428572,13.857142857142858,1083.0,97.0
7281,Pernambuco,2020-04-16,1683.0,199,160,17,161.14285714285714,14.857142857142858,1128.0,104.0
7282,Pernambuco,2020-04-17,2006.0,323,186,26,188.85714285714286,17.285714285714285,1322.0,121.0
7283,Pernambuco,2020-04-18,2193.0,187,205,19,196.71428571428572,19.0,1377.0,133.0
7284,Pernambuco,2020-04-19,2459.0,266,216,11,214.14285714285714,18.714285714285715,1499.0,131.0
7285,Pernambuco,2020-04-20,2690.0,231,234,18,219.42857142857142,18.857142857142858,1536.0,132.0
7286,Pernambuco,2020-04-21,2908.0,218,260,26,232.0,20.714285714285715,1624.0,145.0
7287,Pernambuco,2020-04-22,3298.0,390,282,22,259.14285714285717,19.857142857142858,1814.0,139.0
7288,Pernambuco,2020-04-23,3561.5,263,312,30,268.2857142857143,21.714285714285715,1878.0,152.0
7289,Pernambuco,2020-04-24,3999.0,437,352,40,284.57142857142856,23.714285714285715,1992.0,166.0
7290,Pernambuco,2020-04-25,4507.0,508,381,29,330.42857142857144,25.142857142857142,2313.0,176.0
7291,Pernambuco,2020-04-26,4898.0,391,415,34,348.2857142857143,28.428571428571427,2438.0,199.0
7292,Pernambuco,2020-04-27,5358.0,460,450,35,381.0,30.857142857142858,2667.0,216.0
7293,Pernambuco,2020-04-28,5724.0,366,508,58,402.14285714285717,35.42857142857143,2815.0,248.0
7294,Pernambuco,2020-04-29,6194.0,470,538,30,413.57142857142856,36.57142857142857,2895.0,256.0
7295,Pernambuco,2020-04-30,6876.0,682,565,27,473.42857142857144,36.142857142857146,3314.0,253.0
7296,Pernambuco,2020-05-01,7334.0,458,603,38,476.42857142857144,35.857142857142854,3335.0,251.0
7297,Pernambuco,2020-05-02,8145.0,811,628,25,519.7142857142857,35.285714285714285,3638.0,247.0
7298,Pernambuco,2020-05-03,8643.0,498,652,24,535.0,33.857142857142854,3745.0,237.0
7299,Pernambuco,2020-05-04,8863.0,220,691,39,500.7142857142857,34.42857142857143,3505.0,241.0
7300,Pernambuco,2020-05-05,9325.0,462,749,58,514.4285714285714,34.42857142857143,3601.0,241.0
7301,Pernambuco,2020-05-06,9881.0,556,803,54,526.7142857142857,37.857142857142854,3687.0,265.0
7302,Pernambuco,2020-05-07,10824.0,943,845,42,564.0,40.0,3948.0,280.0
7303,Pernambuco,2020-05-08,11587.0,763,927,82,607.5714285714286,46.285714285714285,4253.0,324.0
7304,Pernambuco,2020-05-09,12470.0,883,972,45,617.8571428571429,49.142857142857146,4325.0,344.0
7305,Pernambuco,2020-05-10,13275.0,805,1047,75,661.7142857142857,56.42857142857143,4632.0,395.0
7306,Pernambuco,2020-05-11,13768.0,493,1087,40,700.7142857142857,56.57142857142857,4905.0,396.0
7307,Pernambuco,2020-05-12,14309.0,541,1157,70,712.0,58.285714285714285,4984.0,408.0
7308,Pernambuco,2020-05-13,14901.0,592,1224,67,717.1428571428571,60.142857142857146,5020.0,421.0
7309,Pernambuco,2020-05-14,15588.0,687,1298,74,680.5714285714286,64.71428571428571,4764.0,453.0
7310,Pernambuco,2020-05-15,16209.0,621,1381,83,660.2857142857143,64.85714285714286,4622.0,454.0
7311,Pernambuco,2020-05-16,18488.0,2279,1461,80,859.7142857142857,69.85714285714286,6018.0,489.0
7312,Pernambuco,2020-05-17,19452.0,964,1516,55,882.4285714285714,67.0,6177.0,469.0
7313,Pernambuco,2020-05-18,20094.0,642,1640,124,903.7142857142857,79.0,6326.0,553.0
