index,estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,daily_cases_moving_average,daily_deaths_moving_average,sum_of_daily_cases_week,sum_of_daily_deaths_week
8835,Rio Grande do Norte,2020-02-25,0.0,0,0,0,3283.0,135.14285714285714,22981.0,946.0
8836,Rio Grande do Norte,2020-02-26,0.0,0,0,0,2828.285714285714,110.0,19798.0,770.0
8837,Rio Grande do Norte,2020-02-27,0.0,0,0,0,2126.0,106.57142857142857,14882.0,746.0
8838,Rio Grande do Norte,2020-02-28,0.0,0,0,0,1912.0,105.14285714285714,13384.0,736.0
8839,Rio Grande do Norte,2020-02-29,0.0,0,0,0,1349.2857142857142,68.57142857142857,9445.0,480.0
8840,Rio Grande do Norte,2020-03-01,0.0,0,0,0,598.1428571428571,32.0,4187.0,224.0
8841,Rio Grande do Norte,2020-03-02,0.0,0,0,0,0.0,0.0,0.0,0.0
8842,Rio Grande do Norte,2020-03-03,0.0,0,0,0,0.0,0.0,0.0,0.0
8843,Rio Grande do Norte,2020-03-04,0.0,0,0,0,0.0,0.0,0.0,0.0
8844,Rio Grande do Norte,2020-03-05,0.0,0,0,0,0.0,0.0,0.0,0.0
8845,Rio Grande do Norte,2020-03-06,0.0,0,0,0,0.0,0.0,0.0,0.0
8846,Rio Grande do Norte,2020-03-07,0.0,0,0,0,0.0,0.0,0.0,0.0
8847,Rio Grande do Norte,2020-03-08,0.0,0,0,0,0.0,0.0,0.0,0.0
8848,Rio Grande do Norte,2020-03-09,0.0,0,0,0,0.0,0.0,0.0,0.0
8849,Rio Grande do Norte,2020-03-10,0.0,0,0,0,0.0,0.0,0.0,0.0
8850,Rio Grande do Norte,2020-03-11,0.0,0,0,0,0.0,0.0,0.0,0.0
8851,Rio Grande do Norte,2020-03-12,0.0,0,0,0,0.0,0.0,0.0,0.0
8852,Rio Grande do Norte,2020-03-13,0.5,0,0,0,0.0,0.0,0.0,0.0
8853,Rio Grande do Norte,2020-03-14,0.5,0,0,0,0.0,0.0,0.0,0.0
8854,Rio Grande do Norte,2020-03-15,0.5,0,0,0,0.0,0.0,0.0,0.0
8855,Rio Grande do Norte,2020-03-16,0.5,0,0,0,0.0,0.0,0.0,0.0
8856,Rio Grande do Norte,2020-03-17,0.5,0,0,0,0.0,0.0,0.0,0.0
8857,Rio Grande do Norte,2020-03-18,0.5,0,0,0,0.0,0.0,0.0,0.0
8858,Rio Grande do Norte,2020-03-19,0.5,0,0,0,0.0,0.0,0.0,0.0
8859,Rio Grande do Norte,2020-03-20,0.5,0,0,0,0.0,0.0,0.0,0.0
8860,Rio Grande do Norte,2020-03-21,3.0,2,0,0,0.2857142857142857,0.0,2.0,0.0
8861,Rio Grande do Norte,2020-03-22,4.5,1,0,0,0.42857142857142855,0.0,3.0,0.0
8862,Rio Grande do Norte,2020-03-23,6.5,2,0,0,0.7142857142857143,0.0,5.0,0.0
8863,Rio Grande do Norte,2020-03-24,6.5,0,0,0,0.7142857142857143,0.0,5.0,0.0
8864,Rio Grande do Norte,2020-03-25,7.0,0,0,0,0.7142857142857143,0.0,5.0,0.0
8865,Rio Grande do Norte,2020-03-26,9.5,2,0,0,1.0,0.0,7.0,0.0
8866,Rio Grande do Norte,2020-03-27,14.0,4,0,0,1.5714285714285714,0.0,11.0,0.0
8867,Rio Grande do Norte,2020-03-28,45.0,31,0,0,5.714285714285714,0.0,40.0,0.0
8868,Rio Grande do Norte,2020-03-29,68.0,23,1,1,8.857142857142858,0.14285714285714285,62.0,1.0
8869,Rio Grande do Norte,2020-03-30,77.0,9,1,0,9.857142857142858,0.14285714285714285,69.0,1.0
8870,Rio Grande do Norte,2020-03-31,82.0,5,1,0,10.571428571428571,0.14285714285714285,74.0,1.0
8871,Rio Grande do Norte,2020-04-01,92.0,10,2,1,12.0,0.2857142857142857,84.0,2.0
8872,Rio Grande do Norte,2020-04-02,105.5,13,2,0,13.571428571428571,0.2857142857142857,95.0,2.0
8873,Rio Grande do Norte,2020-04-03,176.0,70,4,2,23.0,0.5714285714285714,161.0,4.0
8874,Rio Grande do Norte,2020-04-04,213.0,37,5,1,23.857142857142858,0.7142857142857143,167.0,5.0
8875,Rio Grande do Norte,2020-04-05,242.0,29,7,2,24.714285714285715,0.8571428571428571,173.0,6.0
8876,Rio Grande do Norte,2020-04-06,246.0,4,7,0,24.0,0.8571428571428571,168.0,6.0
8877,Rio Grande do Norte,2020-04-07,254.0,8,8,1,24.428571428571427,1.0,171.0,7.0
8878,Rio Grande do Norte,2020-04-08,261.0,7,11,3,24.0,1.2857142857142858,168.0,9.0
8879,Rio Grande do Norte,2020-04-09,261.0,0,11,0,22.142857142857142,1.2857142857142858,155.0,9.0
8880,Rio Grande do Norte,2020-04-10,263.0,2,11,0,12.428571428571429,1.0,87.0,7.0
8881,Rio Grande do Norte,2020-04-11,289.0,26,13,2,10.857142857142858,1.1428571428571428,76.0,8.0
8882,Rio Grande do Norte,2020-04-12,302.5,13,15,2,8.571428571428571,1.1428571428571428,60.0,8.0
8883,Rio Grande do Norte,2020-04-13,339.0,36,17,2,13.142857142857142,1.4285714285714286,92.0,10.0
8884,Rio Grande do Norte,2020-04-14,376.0,37,18,1,17.285714285714285,1.4285714285714286,121.0,10.0
8885,Rio Grande do Norte,2020-04-15,399.0,23,19,1,19.571428571428573,1.1428571428571428,137.0,8.0
8886,Rio Grande do Norte,2020-04-16,400.0,1,20,1,19.714285714285715,1.2857142857142858,138.0,9.0
8887,Rio Grande do Norte,2020-04-17,463.0,63,23,3,28.428571428571427,1.7142857142857142,199.0,12.0
8888,Rio Grande do Norte,2020-04-18,516.0,53,24,1,32.285714285714285,1.5714285714285714,226.0,11.0
